非晶态装甲云	Nimboarmadura amorfa
受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。	Reduce el daño a distancia recibido un <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.
恢复速度已提高，且不消耗能量。	Aumenta el ritmo de restauración. No consume energía.
该单位的护甲已被削减。	La armadura de esta unidad está comprometida.
该单位正在专心地瞄准。	Esta unidad está apuntando cuidadosamente.
该建筑当前处于加速运作状态。	Esta estructura está en estado acelerado.
目标受到霉菌滋生效果的影响。目标现形且移动受限。	El objetivo está afectado por Crecimiento fungoideo. Está detectado y sus movimientos están limitados.
该单位被困在了地面，其武器失效。	Esta unidad está atrapada en el suelo y las armas están deshabilitadas.
该单位的移动速度提高了。	Esta unidad se mueve más rápido.
该单位正受到感染者的控制。	Esta unidad está controlada por un Infestador.
这个水晶塔可以为附近的友方单位恢复护盾。	Este Pilón restaura escudos a las unidades aliadas cercanas.
单位的护盾正在恢复。	Los escudos de la unidad se están restaurando.
该单位无敌并能穿过其它单位。	Esta unidad es invulnerable y puede desplazarse a través de otras unidades.
该水晶塔拥有强大的远程攻击能力。	Este Pilón tiene un ataque de largo alcance potente.
武器和技能被禁用。	Las armas y habilidades están deshabilitadas.
该单位的护甲被降低了。	Esta unidad tiene armadura reducida.
该单位正被一枚反护甲飞弹追踪。	Esta unidad es objetivo de un misil antiblindaje.
使徒的攻击速度提高<d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%。	Aumenta la velocidad de ataque de la Adepta un <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.
该单位已昏迷。	Esta unidad está aturdida.
该单位的攻击和移动速度降低50%。	Las velocidades de ataque y movimiento de esta unidad se reducen un 50%.
该单位正在持续恢复生命值。	Esta unidad está regenerando vida.
静滞陷阱	Trampa de estasis
研究共鸣之刃	Investigar Gladias vibrantes
护盾扩增	Mejora de escudo
航母舱容	Capacidad del Portanaves
高级通信阵列	Matriz de comunicaciones avanzadas
地对空瞄准	Objetivos tierra-aire
高速发射器	Lanzadores de disparo rápido
研究电磁力场加速器	Investigar Acelerador de campo magnético
暗影步	Andar sombrío
钻地之爪	Garras perforadoras
强化冲击波	Olas de choque mejoradas
进化微生物环绕云	Evolucionar Velo microbiano
进化适应之爪	Evolucionar Garras adaptables
进化深槽脊刺	Evolucionar Espinas acanaladas
进化肌腱扩增	Evolucionar Incrementos musculares
进化挤压蠕动	Evolucionar Peristalsis propulsora
扩大攻击范围	Radio de ataque aumentado
提高移动速度	Velocidad de movimiento aumentada
KD8型炸弹	Carga KD8
选择幼虫	Seleccionar Larva
磁场发射器	Lanzadores de campo magnético
侦测器模式	Modo Observador
监察模式	Modo Vigilancia
变异腹囊	Mutar sacos ventrales
取消超距视界	Cancelar Vigilancia
超距视界	Vigilancia
战术召回	Repliegue estratégico
星灵枢纽护盾超载关闭	Sobrecarga de escudo del Nexo desactivada
钻地鳞片	Escamas subterráneas
灵能奔涌	Ráfaga psiónica
净化新星	Nova purificadora
快速二次点火系统	Sistema de Reignición Rápida
变异为破坏者	Transformar en Devastador
强化弹药	Municiones mejoradas
精调炸弹	Explosivos recalibrados
建造修理无人机	Construir Dron de reparación
研究强化弹药	Investigar Municiones mejoradas
反护甲飞弹	Misil antiblindaje
研究护盾扩增	Investigar Mejora de escudo
研究增能护盾	Investigar Mejora de escudo
研究穿甲火箭	Investigar Cohetes antiarmadura
研究航母舱容	Investigar Capacidad del Portanaves
研究高级通信阵列	Investigar Matriz de comunicaciones avanzadas
研究高速发射器	Investigar Lanzadores de disparo rápido
研究暗影步	Investigar Andar sombrío
研究强化冲击波	Investigar Olas de choque mejoradas
研究磁场发射器	Investigar Lanzadores de campo magnético
研究灵能增幅	Investigar Amplificadores psiónicos
研究灵能奔涌	Investigar Ráfaga psiónica
研究快速二次点火系统	Investigar Sistema de Reignición Rápida
研究精调炸弹	Investigar Explosivos recalibrados
研究智能伺服器	Investigar Servos inteligentes
折跃护盾充能器	Transposicionar Batería de escudos
充能	Cargar
构造失稳器	Desestabilizadores tectónicos
研究构造失稳器	Investigar Desestabilizadores tectónicos
升级精钢护甲	Mejorar Armadura de neoacero
潜伏	Ocultamiento
使附近的敌人陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击，也不会受到技能效果影响。	Deja a los enemigos cercanos en estasis durante <d ref="Behavior,OracleStasisTrapTarget,Duration"/> segundos. Las unidades en estasis no pueden recibir ataques ni ser objetivo de habilidades.
使徒的攻击速度提高45%。	Aumenta un 45% la velocidad de ataque de las Adeptas.
<c val="ffff8a">使徒</c>的攻击速度提高45%。	Aumenta la velocidad de ataque de las <c val="ffff8a">Adeptas</c> un 45%.
制造一团遮蔽物，掩护下方的地面单位，使其受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。持续<d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/>秒。	Crea un velo que oculta a las unidades terrestres que tiene debajo y reduce un <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% el daño que reciben de las unidades aéreas. Dura <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> segundos.
<c val="ffff8a">凤凰战机</c>的攻击射程提高<d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>。	Aumenta el radio de ataque del <c val="ffff8a">Fénix</c> en <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.
为重工厂和星港制造的单位提供武器和护甲升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在重工厂中制造恶蝠<n/>- 可以在重工厂中制造雷神	Contiene mejoras de armas y armaduras para las unidades de Fábrica y Puerto estelar. <n/><n/><c val="ffff8a">Habilita:</c><n/>- Murciélago infernal en la Fábrica<n/>- Thor en la Fábrica
步兵训练设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 陆战队员<n/>- 收割者<n/>- 使SCV可以建造地堡<n/>- 使指挥中心可以升级为轨道控制基地	Complejo de producción de infantería.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Marines<n/>- Yum-Kimiles<n/>- Construcción de Búnkeres con los VCE<n/>- Transformación de Centro de mando en Centro de mando orbital
使星灵枢纽附近的目标护盾充能器超载，使其护盾恢复速度加快100%并且使其在<d ref="Behavior,BatteryOvercharge,Duration"/>秒内不消耗能量就可以恢复护盾。	Sobrecarga una Batería de escudos cerca de un Nexo, lo que aumenta su ritmo de restauración de escudos un 100% y le permite restaurar los escudos sin consumir energía durante <d ref="Behavior,BatteryOvercharge,Duration"/> segundos.
战车研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 飓风<n/>- 攻城坦克<n/>- 建造军械库可开启雷神	Estructura de investigación vehicular. Cualquier estructura de producción puede albergar un Tecnolab.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Tanques de asedio<n/>- Thor con Armería
使用一道光束集中攻击一个敌方单位，使目标的护甲降低3点。<n/>效果会在<d ref="Behavior,BypassArmorDroneTimedLife,Duration"/>秒后结束。	Concentra sobre las unidades enemigas un rayo de energía que reduce su armadura en 3.<n/>Pierde efecto después de <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> segundos.
向目标矿脉投放试验性机械矿骡。矿骡的晶体矿采集效率高于SCV。<n/><n/>矿骡的系统在持续工作<d ref="Behavior,MULETimedLife,Duration"/>秒后会瘫痪。	Lanza un minero EMUL robótico experimental en el campo de minerales objetivo. Los EMUL recogen minerales más rápido que los VCE. <n/><n/>Los EMUL duran <d ref="Behavior,MULETimedLife,Duration"/> segundos hasta que sus sistemas comienzan a fallar.
每艘航母的拦截机最大数量从8提高至10。	Aumenta la cantidad máxima de Interceptores por Portanaves de 8 a 10.
<c val="ffff8a">拦截机</c>的约束范围扩大<d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>。	Aumenta el radio de movimiento del <c val="ffff8a">Interceptor</c> en <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.
使狂热者能拦截附近的敌人，同时还会提高狂热者的移动速度。该技能每<d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>秒最多只能使用一次。	Permite que los Zelots intercepten a los enemigos cercanos. También aumenta la velocidad de movimiento de los Zelots. La habilidad solo puede usarse una vez cada <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> segundos.
对目标建筑进行时空提速，使其运作效率提高<d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>%，持续<d ref="Behavior,ChronoBoostEnergyCost,Duration"/>秒。	La estructura objetivo ingresa en un Cronoimpulso que le permite funcionar un <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% más rápido durante <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> segundos.
摧毁该路障可以开辟前往新区域的道路。	Una barrera que se puede destruir para acceder a áreas nuevas.
遭到摧毁后将阻挡通道或资源点的岩堆。	Torre que puede destruirse para impedir el acceso a áreas nuevas o lugares con recursos.
为星灵空中单位提供武器和护甲升级方案，并提供折跃门升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃机械哨兵<n/>- 可以在传送门中折跃追猎者<n/>- 可以在传送门中折跃使徒<n/>- 使探机可以折跃护盾充能器	Contiene mejoras de armas y armaduras para las unidades aéreas protoss, y la mejora Portal de transposición.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Centinelas en el Portal<n/>- Persecutores en el portal<n/>- Adeptas en el Portal<n/>- Baterías de escudos de las Sondas
允许飓风的武器和锁定技能瞄准空中单位。	Permite utilizar las armas y la habilidad Fijar objetivo del Ciclón contra objetivos aéreos.
提高锁定技能的前12发飞弹的发射速度。	Mejora la habilidad Fijar objetivo para que los 12 primeros disparos se lancen rápidamente.
使飓风的台风飞弹舱和锁定技能可以瞄准空中单位。	Permite utilizar las cápsulas de misiles Tifón y la habilidad Fijar objetivo del Ciclón contra objetivos aéreos.
提高<c val="ffff8a">飓风</c>的锁定伤害。对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成400点伤害（+400 vs. 重甲）。	Aumenta el daño de Fijar objetivo del <c val="ffff8a">Ciclón</c>. Inflige 400 de daño (+400 contra unidades blindadas) durante <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> segundos a los objetivos terrestres y aéreos.
为黑暗圣堂武士提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃黑暗圣堂武士<n/>- 黑暗圣堂武士可以融合为执政官	Contiene una mejora para el Templario oscuro.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Templarios oscuros en el Portal<n/>- Fusión de Templarios oscuros en Arconte
将黑暗圣堂武士传送至附近位置。该技能每 <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/>秒只能使用一次。	Teletransporta al Templario oscuro a una ubicación objetivo cercana. La habilidad solo puede utilizarse una vez cada <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> segundos.
机械干扰型单位。可使用净化新星造成大量的范围伤害。	Unidad de disrupción robótica. Puede usar Nova purificadora para infligir una gran cantidad de daño de área.
高浓度太阳能。<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒后爆炸，造成范围伤害。	Energía solar altamente concentrada. Explota después de <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> segundos e inflige daño de área.
该单位潜地的速度会更快。	Esta unidad se entierra más rápido.
<c val="ffff8a">幽灵</c>的EMP弹的范围扩大+<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>。	Aumenta <d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/> el radio de la Munición PEM del <c val="ffff8a">Fantasma</c>.
允许<c val="ffff8a">感染者</c> 使用微生物环绕云技能。	Permite que los <c val="ffff8a">Infestadores</c> usen la habilidad Velo microbiano.
提高<c val="ffff8a">雷兽</c>在菌毯外的移动速度。	Aumenta la velocidad de movimiento de los <c val="ffff8a">Ultraliscos</c> fuera del talo.
<c val="ffff8a">爆虫</c>移动速度提高，生命值增加5点。	Los <c val="ffff8a">Uetzis</c> obtienen más velocidad de movimiento y +5 de vida.
<c val="ffff8a">雷兽</c>护甲提高<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>点。	Otorga +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> de armadura a los <c val="ffff8a">Ultraliscos</c>.
使<c val="ffff8a">潜伏者</c>潜地的时间从<d time="2.5" precision="1"/>降低至<d time="1" precision="1"/>并提高其移动速度。	Reduce el tiempo que necesitan los <c val="ffff8a">Acechadores</c> para enterrarse de <d time="2.5" precision="1"/> a <d time="1" precision="1"/> y aumenta su velocidad de movimiento.
<c val="ffff8a">雷兽</c>的攻击范围+<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>。	Aumenta el radio de ataque del <c val="ffff8a">Hidralisco</c> en +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.
提高<c val="ffff8a">刺蛇</c>的移动速度。	Aumenta la velocidad de movimiento de los<c val="ffff8a">Hidraliscos</c>.
提高<c val="ffff8a">虫道网络</c>和<c val="ffff8a">坑道虫</c>的装载与卸载速度。	Aumenta la <c val="ffff8a">red Nydus</c> y la velocidad de carga y descarga del <c val="ffff8a">Gusano Nydus</c>.
<c val="ffff8a">蟑螂</c>潜地时可以移动。	Permite que las <c val="ffff8a">Cucarachas</c> se desplacen bajo tierra.
自动机炮和猎杀飞弹的伤害提高30%。	Aumenta un 30% el daño de las Torretas automáticas y los Misiles buscadores del Cuervo.
战车生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 恶火<n/>- 寡妇雷<n/>- 飓风	Complejo de producción vehicular. <n/><n/><c val="ffff8a">Habilita:</c><n/>- Demonios<n/>- Minas viudas<n/>- Ciclones
抽取目标所有能量。每点能量造成<d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/>点伤害。	Drena toda la energía del objetivo. Inflige <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> de daño por punto de energía.
为凤凰、虚空辉光舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以从星门折跃风暴战舰</n>- 可以从星门折跃航母<n/>- 可以从星灵枢纽折跃母舰	Contiene mejoras para los Fénix y Mantarrayas del Vacío.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Tempestades en el Portal estelar</n>- Portanaves en el Portal estelar<n/>- Nave nodriza en el Nexo
免疫减速、昏迷、精神控制和位移效果。	Inmune a la inmovilización, el aturdimiento, el control mental y los efectos que dificultan el movimiento.
目标单位在<d time="4"/>内受到<d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/>点伤害，并且移动速度降低<d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%。 暴露隐形和潜地的单位。受影响的单位无法闪现、或进入装载体或建筑。	Las unidades objetivo reciben <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> de daño durante <d time="4"/> y su velocidad de movimiento se reduce un <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Revela a las unidades camufladas y enterradas. Las unidades afectadas no pueden usar Parpadeo ni entrar a transportes o edificaciones.
为医疗运输机、解放者、战列巡航舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在星港中建造战列巡航舰	Contiene mejoras para el Evamed, Libertador y Crucero de batalla. <n/><n/><c val="ffff8a">Habilita:</c><n/>- Cruceros de batalla en el Puerto estelar
狙击手。能够使用稳定瞄准、EMP弹，还可以在升级后使用隐形技能。能够对幽灵军校发动的聚变打击进行制导。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Francotirador. Puede usar Puntería firme, Munición PEM y mejorarse para usar Camuflaje. Puede lanzar Misiles nucleares tácticos construidos en la Academia de Fantasmas.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c>
能够制造供幽灵使用的聚变弹头，并为幽灵提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在兵营中训练幽灵	Contiene mejoras para los Fantasmas. Puede construir Misiles nucleares para estos.<n/><n/><c val="ffff8a">Activa:</c><n/>- Fantasmas en el Cuartel
制造一个范围<d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>的光环，使友方单位受到的远程伤害降低2。持续<d time="15"/>。	Crea un aura con un radio de <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> que reduce en 2 el daño a distancia recibido por las unidades aliadas. Dura <d time="15"/>.
治疗一个友方生物单位。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/>点生命值。</c>	Cura a un objetivo biológico aliado.<n/><n/><c val="f078ff">Cura <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> de vida por cada 1 de energía.</c>
增加医疗运输机的燃料储备，使后燃推进系统的持续时间延长50%。	Aumenta las reservas de combustible de los Evamed y permite que Encender postquemadores dure un 50% más.
强大的灵能运用大师。能够使用能量反蚀技能，升级后可以使用灵能风暴技能。可以融合为执政官。<n/><n/><c val="ffff8a">可以对地。</c>	Potente maestro psiónico. Usa Retroalimentación y puede mejorarse para usar Tormenta psiónica. Se transforma en un Arconte.<n/><n/><c val="ffff8a">Ataca a unidades terrestres.</c>
为刺蛇提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为刺蛇	Contiene mejoras para los Hidraliscos.<n/><n/><c val="ffff8a">Activa:</c><n/>- Hidraliscos a partir de Larvas
吸收最多<d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>点伤害，持续<d ref="Behavior,ImmortalOverload,Duration"/>秒。该效果每<d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/>秒只能触发一次。	Absorbe hasta <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> de daño. Dura <d ref="Behavior,ImmortalOverload,Duration"/> segundos. Este efecto se produce solo una vez cada <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> segundos.
为感染者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为感染者<n/>- 使幼虫可变异为虫群宿主	Contiene mejoras para los Infestadores.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Transformación de Larvas en Infestadores<n/>- Transformación de Larvas en Huéspedes del Enjambre
孵化一名被感染的人类，持续<d ref="Behavior,InfestedTerranTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以在潜地时施放。</c>	Engendra un Terran infestado. Los Terran infestados duran <d ref="Behavior,InfestedTerranTimedLife,Duration"/> segundos. <n/><n/><c val="ffff8a">Se puede lanzar estando enterrado.</c>
善于感染的虫类。可以使用霉菌滋生、微生物环绕云以及神经寄生能力。	Especialista en infestación. Puede utilizar las habilidades Crecimiento fungoideo, Velo microbiano y Parásito neural.
把一个空中的目标单位拉到地面，持续<d ref="Behavior,InfestorEnsnare,Duration"/>秒，使其无法攻击，并使各单位把它视作地面单位进行攻击。	Derriba a la unidad aérea por <d ref="Behavior,InfestorEnsnare,Duration"/> segundos, le impide atacar y permite que las unidades la ataquen como si fuera una unidad terrestre.
短暂延迟后发生爆炸，造成<d ref="Effect,KD8ChargeExplodeDamage,Amount"/>点伤害并击退附近的单位。	Explota después de un período breve, inflige <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> de daño y expulsa a las unidades cercanas.
解放者在防卫模式下的射程增加<d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>。	Aumenta el alcance de los Libertadores en modo Defensivo en <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.
将飓风的武器锁定在目标单位上，在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。	Fija las armas del Ciclón a la unidad objetivo e inflige <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> de daño durante <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> segundos a unidades terrestres y voladoras. Puede moverse mientras dispara. La habilidad se cancela si el objetivo está fuera de alcance.
使飓风的武器锁定目标空中单位，在<d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。开火时可以移动。如果目标离开射程后则取消。	Fija las armas del Ciclón sobre la unidad aérea objetivo e inflige <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> de daño durante <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> segundos. Puede moverse mientras dispara. Si el objetivo sale del alcance, se cancela.
