非晶态装甲云	무정형 방어구름
步兵训练设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 陆战队员<n/>- 收割者<n/>- 使SCV可以建造地堡<n/>- 使指挥中心可以升级为轨道控制基地	보병 생산 시설입니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 해병<n/>- 사신<n/>- 벙커 (건설로봇 건설)<n/>- 궤도 사령부 (사령부 업그레이드)
使星灵枢纽附近的目标护盾充能器超载，使其护盾恢复速度加快100%并且使其在<d ref="Behavior,BatteryOvercharge,Duration"/>秒内不消耗能量就可以恢复护盾。	연결체 근처에 있는 보호막 충전소 하나를 과충전시켜 보호막 회복률을 100% 증가시키고 <d ref="Behavior,BatteryOvercharge,Duration"/>초 동안 에너지를 소모하지 않고 보호막을 충전시키게 만듭니다.
战车研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 飓风<n/>- 攻城坦克<n/>- 建造军械库可开启雷神	차량 기술을 연구합니다. 기술실은 모든 생산 건물에 부착할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 공성 전차<n/>- 토르 (무기고 필요)
使用一道光束集中攻击一个敌方单位，使目标的护甲降低3点。<n/>效果会在<d ref="Behavior,BypassArmorDroneTimedLife,Duration"/>秒后结束。	적 유닛에게 광선을 집중시켜 방어력을 3만큼 감소시킵니다.<n/><d ref="Behavior,BypassArmorDroneTimedLife,Duration"/>초 후에 사라집니다.
向目标矿脉投放试验性机械矿骡。矿骡的晶体矿采集效率高于SCV。<n/><n/>矿骡的系统在持续工作<d ref="Behavior,MULETimedLife,Duration"/>秒后会瘫痪。	선택한 광물 지대에 실험용 채광 기계인 지게로봇을 투하합니다. 지게로봇은 건설로봇보다 더 빠르게 광물을 채취합니다.<n/><n/>지게로봇은 <d ref="Behavior,MULETimedLife,Duration"/>초 후에 작동을 멈춥니다.
每艘航母的拦截机最大数量从8提高至10。	우주모함 하나당 요격기의 최대 숫자가 8대에서 10대로 증가합니다.
<c val="ffff8a">拦截机</c>的约束范围扩大<d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>。	<c val="ffff8a">요격기</c>의 활동 범위가 <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>만큼 증가합니다.
使狂热者能拦截附近的敌人，同时还会提高狂热者的移动速度。该技能每<d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>秒最多只能使用一次。	광전사가 주위 적을 향해 돌진합니다. 추가로 광전사의 이동 속도가 증가합니다. <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>초에 한 번씩만 사용할 수 있습니다.
对目标建筑进行时空提速，使其运作效率提高<d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>%，持续<d ref="Behavior,ChronoBoostEnergyCost,Duration"/>秒。	대상 구조물에 시간 증폭을 사용합니다. 해당 건물의 생산 및 연구 속도가 <d ref="Behavior,ChronoBoostEnergyCost,Duration"/>초 동안 <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>%만큼 증가합니다.
摧毁该路障可以开辟前往新区域的道路。	이 장애물을 파괴하면 새로운 지역에 접근할 수 있습니다.
遭到摧毁后将阻挡通道或资源点的岩堆。	이 탑을 파괴하면 자원이 있는 곳이나 새로운 지역으로 가는 길을 차단할 수 있습니다.
为星灵空中单位提供武器和护甲升级方案，并提供折跃门升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃机械哨兵<n/>- 可以在传送门中折跃追猎者<n/>- 可以在传送门中折跃使徒<n/>- 使探机可以折跃护盾充能器	프로토스 공중 유닛과 차원 관문을 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 파수기 (관문)- 추적자 (관문)<n/><n/>- 사도 (관문)<n/>- 보호막 충전소 (탐사정)
允许飓风的武器和锁定技能瞄准空中单位。	사이클론의 무기 공격과 목표물 고정 능력이 공중 유닛을 대상으로 삼을 수 있습니다.
提高锁定技能的前12发飞弹的发射速度。	목표물 고정 능력을 향상하여 첫 12발을 빠르게 발사하게 만듭니다.
使飓风的台风飞弹舱和锁定技能可以瞄准空中单位。	사이클론의 태풍 미사일 포와 목표물 고정 능력이 공중 유닛을 대상으로 삼을 수 있습니다.
提高<c val="ffff8a">飓风</c>的锁定伤害。对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成400点伤害（+400 vs. 重甲）。	<c val="ffff8a">사이클론</c>의 목표물 고정 공격력을 증가시킵니다. 지상 및 공중 유닛에 <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>초에 걸쳐 400(중장갑 유닛에게는 추가 400)의 피해를 줍니다.
为黑暗圣堂武士提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃黑暗圣堂武士<n/>- 黑暗圣堂武士可以融合为执政官	암흑 기사를 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 암흑 기사 (관문)<n/>- 집정관 (암흑 기사 합체)
将黑暗圣堂武士传送至附近位置。该技能每 <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/>秒只能使用一次。	암흑 기사가 주위의 대상 위치로 순간이동합니다. <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/>초에 한 번씩만 사용할 수 있습니다.
机械干扰型单位。可使用净化新星造成大量的范围伤害。	로봇 분열 유닛입니다. 정화 폭발을 사용하여 큰 범위 피해를 줄 수 있습니다.
高浓度太阳能。<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒后爆炸，造成范围伤害。	고농축 태양 에너지입니다. <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>초 후 폭발하여 범위 피해를 줍니다.
该单位潜地的速度会更快。	더 빠르게 잠복합니다.
<c val="ffff8a">幽灵</c>的EMP弹的范围扩大+<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>。	<c val="ffff8a">유령</c>의 EMP 탄환 반경이 +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>만큼 증가합니다.
允许<c val="ffff8a">感染者</c> 使用微生物环绕云技能。	<c val="ffff8a">감염충</c>이 세균 장막 능력을 사용할 수 있습니다.
提高<c val="ffff8a">雷兽</c>在菌毯外的移动速度。	<c val="ffff8a">울트라리스크</c>의 점막 밖 이동 속도가 증가합니다.
<c val="ffff8a">爆虫</c>移动速度提高，生命值增加5点。	<c val="ffff8a">맹독충</c>의 이동 속도가 증가하고 체력이 5만큼 증가합니다.
<c val="ffff8a">雷兽</c>护甲提高<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>点。	<c val="ffff8a">울트라리스크</c>의 방어력이 <d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>만큼 증가합니다.
使<c val="ffff8a">潜伏者</c>潜地的时间从<d time="2.5" precision="1"/>降低至<d time="1" precision="1"/>并提高其移动速度。	<c val="ffff8a">가시지옥</c>의 잠복 속도가 <d time="2.5" precision="1"/>에서 <d time="1" precision="1"/>%Rjon(으로,로) 감소하고 이동 속도가 증가합니다.
<c val="ffff8a">雷兽</c>的攻击范围+<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>。	<c val="ffff8a">히드라리스크</c>의 공격 사거리가 <d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>만큼 증가합니다.
提高<c val="ffff8a">刺蛇</c>的移动速度。	<c val="ffff8a">히드라리스크</c>의 이동 속도가 증가합니다.
提高<c val="ffff8a">虫道网络</c>和<c val="ffff8a">坑道虫</c>的装载与卸载速度。	<c val="ffff8a">땅굴망</c>과 <c val="ffff8a">땅굴벌레</c>의 들이기 및 내보내기 속도가 증가합니다.
<c val="ffff8a">蟑螂</c>潜地时可以移动。	<c val="ffff8a">바퀴</c>가 잠복 상태에서 이동할 수 있게 합니다.
自动机炮和猎杀飞弹的伤害提高30%。	밤까마귀의 자동 포탑과 추적 미사일의 공격력이 30%만큼 증가합니다.
战车生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 恶火<n/>- 寡妇雷<n/>- 飓风	차량 생산 시설입니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 화염차<n/>- 땅거미 지뢰<n/>- 사이클론
抽取目标所有能量。每点能量造成<d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/>点伤害。	대상의 에너지를 모두 소진시키고, 소진된 에너지 1당 <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/>의 피해를 줍니다.
为凤凰、虚空辉光舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以从星门折跃风暴战舰</n>- 可以从星门折跃航母<n/>- 可以从星灵枢纽折跃母舰	불사조와 공허 포격기를 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 폭풍함 (우주관문)<n/>- 우주모함 (우주관문)</n>- 모선 (연결체)
免疫减速、昏迷、精神控制和位移效果。	감속, 기절, 정신 제어, 이동 방해 효과에 면역입니다.
目标单位在<d time="4"/>内受到<d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/>点伤害，并且移动速度降低<d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%。 暴露隐形和潜地的单位。受影响的单位无法闪现、或进入装载体或建筑。	대상 유닛에 <d time="4"/>에 걸쳐 <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/>의 피해를 주고 이동 속도를 <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>% 감소시킵니다. 은폐하거나 잠복한 유닛은 모습이 드러납니다. 영향을 받은 유닛은 점멸을 사용할 수 없으며, 수송기나 건물에 들어갈 수도 없습니다.
为医疗运输机、解放者、战列巡航舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在星港中建造战列巡航舰	의료선, 해방선, 전투순양함을 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 전투순양함 (우주공항)
狙击手。能够使用稳定瞄准、EMP弹，还可以在升级后使用隐形技能。能够对幽灵军校发动的聚变打击进行制导。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	저격수입니다. 부동 조준과 EMP 탄환을 사용할 수 있고, 업그레이드하면 은폐를 사용할 수 있습니다. 유령 사관학교에서 생산한 전술 핵미사일을 투하할 수 있습니다.<n/><n/><c val="#ColorAttackInfo">지상 및 공중 유닛 공격 가능</c>
能够制造供幽灵使用的聚变弹头，并为幽灵提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在兵营中训练幽灵	유령을 업그레이드합니다. 유령이 사용할 수 있는 핵을 생산합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 유령 (병영)
制造一个范围<d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>的光环，使友方单位受到的远程伤害降低2。持续<d time="15"/>。	범위 <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>의 오라를 생성하여 아군 유닛이 받는 원거리 피해를 2만큼 감소시킵니다. <d time="15"/> 동안 지속됩니다.
治疗一个友方生物单位。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/>点生命值。</c>	아군 생체 유닛을 치료합니다.<n/><n/><c val="f078ff">에너지 1당 <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/>의 체력 회복</c>
增加医疗运输机的燃料储备，使后燃推进系统的持续时间延长50%。	의료선의 연료 비축량을 증가시켜 재연소 장치 점화의 지속 시간을 50%만큼 증가시킵니다.
强大的灵能运用大师。能够使用能量反蚀技能，升级后可以使用灵能风暴技能。可以融合为执政官。<n/><n/><c val="ffff8a">可以对地。</c>	강한 사이오닉 능력을 지니고 있습니다. 환류를 사용할 수 있고 업그레이드하면 사이오닉 폭풍을 사용할 수 있습니다. 집정관으로 변신할 수 있습니다.<n/><n/><c val="ffff8a">지상 유닛 공격 가능</c>
为刺蛇提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为刺蛇	히드라리스크를 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 히드라리스크 (애벌레에서 변태)
吸收最多<d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>点伤害，持续<d ref="Behavior,ImmortalOverload,Duration"/>秒。该效果每<d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/>秒只能触发一次。	최대 <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>의 피해를 흡수합니다. <d ref="Behavior,ImmortalOverload,Duration"/>초 동안 지속됩니다. 이 효과는 <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/>초마다 한 번만 발동합니다.
为感染者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为感染者<n/>- 使幼虫可变异为虫群宿主	감염충을 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 감염충 (애벌레에서 변태)<n/>- 군단 숙주 (애벌레에서 변태)
孵化一名被感染的人类，持续<d ref="Behavior,InfestedTerranTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以在潜地时施放。</c>	감염된 테란을 하나 생성합니다. 감염된 테란은 <d ref="Behavior,InfestedTerranTimedLife,Duration"/>초 동안 전장에 머뭅니다.<n/><n/><c val="ffff8a">잠복한 상태로 시전 가능</c>
善于感染的虫类。可以使用霉菌滋生、微生物环绕云以及神经寄生能力。	감염 전문 유닛입니다. 진균 번식, 세균 장막, 신경 기생충 능력을 사용할 수 있습니다.
把一个空中的目标单位拉到地面，持续<d ref="Behavior,InfestorEnsnare,Duration"/>秒，使其无法攻击，并使各单位把它视作地面单位进行攻击。	감염충이 대상 공중 유닛을 <d ref="Behavior,InfestorEnsnare,Duration"/>초 동안 지상으로 끌어 내려 공격을 못하게 만들고, 아군이 해당 유닛을 지상 유닛인 것처럼 공격할 수 있게 합니다.
短暂延迟后发生爆炸，造成<d ref="Effect,KD8ChargeExplodeDamage,Amount"/>点伤害并击退附近的单位。	일정 시간 후 폭발하여 주위 유닛에게 <d ref="Effect,KD8ChargeExplodeDamage,Amount"/>의 피해를 주고 밀쳐냅니다.
解放者在防卫模式下的射程增加<d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>。	해방선의 수호기 모드의 사거리가 <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>만큼 증가합니다.
将飓风的武器锁定在目标单位上，在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。	사이클론의 무기를 대상 유닛에 고정시켜 <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>초에 걸쳐 지상 및 공중 대상에 <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>의 피해를 줍니다. 이동하며 발사할 수 있습니다. 대상이 사거리 밖으로 벗어나면 취소됩니다.
使飓风的武器锁定目标空中单位，在<d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。开火时可以移动。如果目标离开射程后则取消。	대상 비행 유닛을 사이클론의 공격 목표로 고정시켜 <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>초에 걸쳐 <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>의 피해를 줍니다. 이동하면서 공격할 수 있습니다. 대상이 사거리 밖으로 나가면 취소됩니다.
