非晶态装甲云	Аморфное бронеоблако
研究精调炸弹	Разработать перекалиброванную взрывчатку
研究智能伺服器	Разработать универсальные приводы
折跃护盾充能器	Вызвать батарею щитов
充能	Charge
构造失稳器	Тектонические дестабилизаторы
研究构造失稳器	Разработать тектонические дестабилизаторы
升级精钢护甲	Укрепить обшивку неосталью
潜伏	Скрытность
使附近的敌人陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击，也不会受到技能效果影响。	Помещает ближайших противников в стазис на <d ref="Behavior,OracleStasisTrapTarget,Duration"/> сек. Пойманные цели нельзя атаковать или использовать на них способности.
使徒的攻击速度提高45%。	Повышают скорость атаки адептов на 45%.
<c val="ffff8a">使徒</c>的攻击速度提高45%。	Повышают скорость атаки <c val="ffff8a">адептов</c> на 45%.
制造一团遮蔽物，掩护下方的地面单位，使其受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。持续<d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/>秒。	Создает завесу, под которой наземные боевые единицы получают на <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% меньше урона от воздушных войск. Время действия – <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> сек.
<c val="ffff8a">凤凰战机</c>的攻击射程提高<d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>。	Увеличивает дальность атаки <c val="ffff8a">«Фениксов»</c> на <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.
为重工厂和星港制造的单位提供武器和护甲升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在重工厂中制造恶蝠<n/>- 可以在重工厂中制造雷神	Позволяет улучшать броню и оружие боевых единиц, производимых на заводе и в космопорте. <n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– производство «Геллитронов» на заводе<n/>– производство «Торов» на заводе
步兵训练设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 陆战队员<n/>- 收割者<n/>- 使SCV可以建造地堡<n/>- 使指挥中心可以升级为轨道控制基地	Тренировочный комплекс пехоты.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– обучение морпехов<n/>– обучение головорезов<n/>– постройка бункеров с помощью КСМ<n/>– переоборудование командных центров в станции наблюдения
使星灵枢纽附近的目标护盾充能器超载，使其护盾恢复速度加快100%并且使其在<d ref="Behavior,BatteryOvercharge,Duration"/>秒内不消耗能量就可以恢复护盾。	Перегружает указанную батарею щитов рядом с нексусом, повышая скорость перезарядки щитов на 100% и позволяя восстанавливать щиты без затрат энергии в течение <d ref="Behavior,BatteryOvercharge,Duration"/> сек.
战车研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 飓风<n/>- 攻城坦克<n/>- 建造军械库可开启雷神	Позволяет разрабатывать улучшения для наземной техники. Построенную лабораторию можно состыковать с любым производственным строением.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– производство осадных танков;<n/>– производство «Торов» (требуется арсенал).
使用一道光束集中攻击一个敌方单位，使目标的护甲降低3点。<n/>效果会在<d ref="Behavior,BypassArmorDroneTimedLife,Duration"/>秒后结束。	Фокусирует на цели луч, ослабляя ее броню на 3.<n/>Эффект прерывается после <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> сек.
向目标矿脉投放试验性机械矿骡。矿骡的晶体矿采集效率高于SCV。<n/><n/>矿骡的系统在持续工作<d ref="Behavior,MULETimedLife,Duration"/>秒后会瘫痪。	Десантирует к месторождению экспериментального шахтерского робота, который добывает минералы быстрее, чем обычный КСМ. <n/><n/>МУЛ функционирует в течение <d ref="Behavior,MULETimedLife,Duration"/>, после чего происходит системный сбой.
每艘航母的拦截机最大数量从8提高至10。	Увеличивает максимальное число перехватчиков на каждом авианосце с 8 до 10.
<c val="ffff8a">拦截机</c>的约束范围扩大<d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>。	Увеличивает дальность самостоятельного полета <c val="ffff8a">перехватчиков</c> на <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.
使狂热者能拦截附近的敌人，同时还会提高狂热者的移动速度。该技能每<d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>秒最多只能使用一次。	Повышает скорость передвижения зилотов и позволяет им перехватывать находящихся рядом противников. Можно использовать не чаще раза в <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> сек.
对目标建筑进行时空提速，使其运作效率提高<d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>%，持续<d ref="Behavior,ChronoBoostEnergyCost,Duration"/>秒。	Окружает указанное строение темпоральным полем, ускоряющим его работу на <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% на <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> сек.
摧毁该路障可以开辟前往新区域的道路。	Препятствие, которое можно разрушить, чтобы получить доступ к новым территориям.
遭到摧毁后将阻挡通道或资源点的岩堆。	Разрушаемая груда камней, уничтожив которую, можно закрыть доступ к новым областям и месторождениям.
为星灵空中单位提供武器和护甲升级方案，并提供折跃门升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃机械哨兵<n/>- 可以在传送门中折跃追猎者<n/>- 可以在传送门中折跃使徒<n/>- 使探机可以折跃护盾充能器	Позволяет улучшать броню и оружие воздушных войск протоссов и разрабатывать врата искривления.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– вызов часовых во вратах<n/>– вызов сталкеров во вратах<n/>– вызов адептов во вратах<n/>– вызов батарей щитов зондами
允许飓风的武器和锁定技能瞄准空中单位。	Позволяет «Циклонам» использовать оружие и способность «Захват цели», чтобы атаковать воздушные цели.
提高锁定技能的前12发飞弹的发射速度。	Улучшают «Захват цели», позволяя производить первые 12 выстрелов в ускоренном режиме.
使飓风的台风飞弹舱和锁定技能可以瞄准空中单位。	Позволяет «Циклонам» использовать ракетный модуль «Тайфун» и способность «Захват цели», чтобы атаковать воздушные цели.
提高<c val="ffff8a">飓风</c>的锁定伤害。对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成400点伤害（+400 vs. 重甲）。	Увеличивает урон от «Захвата цели» <c val="ffff8a">«Циклонов»</c>. Он наносит 400 ед. урона за <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> сек. наземным и воздушным целям (+400 ед. урона бронированным целям).
为黑暗圣堂武士提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃黑暗圣堂武士<n/>- 黑暗圣堂武士可以融合为执政官	Позволяет улучшать темных тамплиеров.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– вызов темных тамплиеров во вратах<n/>– перерождение темных тамплиеров в темных архонтов
将黑暗圣堂武士传送至附近位置。该技能每 <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/>秒只能使用一次。	Телепортирует темных тамплиеров на небольшое расстояние. Время восстановления: <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> сек.
机械干扰型单位。可使用净化新星造成大量的范围伤害。	Роботизированная боевая единица. Может использовать способность «Взрыв очищения», наносящую значительный урон по области.
高浓度太阳能。<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒后爆炸，造成范围伤害。	Концентрированная солнечная энергия. Взрывается через <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> сек., нанося урон в области поражения.
该单位潜地的速度会更快。	Эта боевая единица закапывается быстрее.
<c val="ffff8a">幽灵</c>的EMP弹的范围扩大+<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>。	Увеличивает радиус действия ЭМИ-патронов <c val="ffff8a">призраков</c> на <d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.
允许<c val="ffff8a">感染者</c> 使用微生物环绕云技能。	<c val="ffff8a">Заразители</c> получают возможность использовать способность «Микробная завеса».
提高<c val="ffff8a">雷兽</c>在菌毯外的移动速度。	Скорость передвижения <c val="ffff8a">ультралисков</c> вне слизи повышается.
<c val="ffff8a">爆虫</c>移动速度提高，生命值增加5点。	<c val="ffff8a">Гиблинги</c> получают прибавку к скорости передвижения и +5 ед. к запасу здоровья.
<c val="ffff8a">雷兽</c>护甲提高<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>点。	Усиливает броню <c val="ffff8a">ультралисков</c> на <d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>.
使<c val="ffff8a">潜伏者</c>潜地的时间从<d time="2.5" precision="1"/>降低至<d time="1" precision="1"/>并提高其移动速度。	Повышают скорость передвижения <c val="ffff8a">скрытней</c> и сокращают время, необходимое им, чтобы закопаться, с <d time="2.5" precision="1"/> до <d time="1" precision="1"/>
<c val="ffff8a">雷兽</c>的攻击范围+<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>。	Увеличивают дальность атаки <c val="ffff8a">гидралисков</c> на <d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.
提高<c val="ffff8a">刺蛇</c>的移动速度。	Скорость передвижения <c val="ffff8a">гидралисков</c> повышается.
提高<c val="ffff8a">虫道网络</c>和<c val="ffff8a">坑道虫</c>的装载与卸载速度。	Повышает скорость загрузки и выгрузки войск при использовании <c val="ffff8a">сети нидуса</c> и <c val="ffff8a">червей нидуса</c>.
<c val="ffff8a">蟑螂</c>潜地时可以移动。	Позволяют <c val="ffff8a">тараканам</c> передвигаться в закопанном состоянии.
自动机炮和猎杀飞弹的伤害提高30%。	Урон, наносимый автотурелями «Воронов» и ракетами «Гончая», увеличивается на 30%.
战车生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 恶火<n/>- 寡妇雷<n/>- 飓风	Завод по производству бронетехники.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– производство «Геллионов»<n/>– производство мин «Вдова»<n/>– производство «Циклонов»
抽取目标所有能量。每点能量造成<d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/>点伤害。	Полностью лишает цель энергии, нанося <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> ед. урона за каждую единицу энергии.
为凤凰、虚空辉光舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以从星门折跃风暴战舰</n>- 可以从星门折跃航母<n/>- 可以从星灵枢纽折跃母舰	Позволяет улучшать «Фениксы» и излучатели Пустоты.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– вызов «Ураганов» в звездных вратах</n>– вызов авианосцев в звездных вратах<n/>– создание материнского корабля в нексусе
免疫减速、昏迷、精神控制和位移效果。	Невосприимчивость к парализации, оглушению, подчинению и замедлению.
目标单位在<d time="4"/>内受到<d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/>点伤害，并且移动速度降低<d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%。 暴露隐形和潜地的单位。受影响的单位无法闪现、或进入装载体或建筑。	Указанные боевые единицы получают <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> ед. урона в течение <d time="4"/> При этом их скорость передвижения снижается на <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Замаскированные или закопанные войска становятся видимыми. Пораженные боевые единицы не могут использовать «Скачок», а также загружаться в транспорт и строения.
为医疗运输机、解放者、战列巡航舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在星港中建造战列巡航舰	Позволяет улучшать медэваки, «Освободители» и крейсеры.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– производство крейсеров в космопорте
狙击手。能够使用稳定瞄准、EMP弹，还可以在升级后使用隐形技能。能够对幽灵军校发动的聚变打击进行制导。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Снайпер. Может использовать «Точное прицеливание», ЭМИ-патроны и маскировку (после соответствующего улучшения). Указывает цели для ядерных ракет, производимых в академии призраков.<n/><n/><c val="#ColorAttackInfo">Атакует наземные и воздушные цели.</c>
能够制造供幽灵使用的聚变弹头，并为幽灵提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在兵营中训练幽灵	Позволяет улучшать призраков. Служит для строительства ядерных ракет, используемых призраками.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– обучение призраков в казармах
制造一个范围<d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>的光环，使友方单位受到的远程伤害降低2。持续<d time="15"/>。	Создает ауру радиусом <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>, уменьшающую урон, получаемый союзниками в дальнем бою, на 2 ед. Время действия – <d time="15"/>.
治疗一个友方生物单位。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/>点生命值。</c>	Применяется к союзным органическим войскам.<n/><n/><c val="f078ff">Восполняет <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> ед. здоровья за 1 ед. энергии.</c>
增加医疗运输机的燃料储备，使后燃推进系统的持续时间延长50%。	Увеличивают топливный резерв медэваков, в результате чего время действия «Форсажа» продлевается на 50%.
强大的灵能运用大师。能够使用能量反蚀技能，升级后可以使用灵能风暴技能。可以融合为执政官。<n/><n/><c val="ffff8a">可以对地。</c>	Могущественный воин-псионик. Может использовать способности «Противодействие» и «Псионный шторм» (после соответствующего улучшения). Может переродиться в архонта.<n/><n/><c val="ffff8a">Атакует только наземные цели.</c>
为刺蛇提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为刺蛇	Позволяет улучшать гидралисков.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– мутация личинок в гидралисков
吸收最多<d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>点伤害，持续<d ref="Behavior,ImmortalOverload,Duration"/>秒。该效果每<d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/>秒只能触发一次。	Поглощает до <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> ед. урона. Время действия – <d ref="Behavior,ImmortalOverload,Duration"/> сек. Срабатывает не чаще одного раза в <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> сек.
为感染者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为感染者<n/>- 使幼虫可变异为虫群宿主	Позволяет улучшать заразителей.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– мутация личинок в заразителей<n/>– мутация личинок в роевиков
孵化一名被感染的人类，持续<d ref="Behavior,InfestedTerranTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以在潜地时施放。</c>	Порождает зараженного террана. Зараженные терраны существуют <d ref="Behavior,InfestedTerranTimedLife,Duration"/> сек.<n/><n/><c val="ffff8a">Можно использовать в закопанном состоянии.</c>
善于感染的虫类。可以使用霉菌滋生、微生物环绕云以及神经寄生能力。	Заражает войска противника. Может использовать способности «Микоз», «Микробная завеса» и «Нейропаразит».
把一个空中的目标单位拉到地面，持续<d ref="Behavior,InfestorEnsnare,Duration"/>秒，使其无法攻击，并使各单位把它视作地面单位进行攻击。	Опускает воздушную боевую единицу на землю на <d ref="Behavior,InfestorEnsnare,Duration"/> сек. и не позволяет ей атаковать. Связанные боевые единицы можно атаковать как наземные цели.
短暂延迟后发生爆炸，造成<d ref="Effect,KD8ChargeExplodeDamage,Amount"/>点伤害并击退附近的单位。	После небольшой паузы взрывается и отбрасывает ближайших противников, нанося им <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> ед. урона.
解放者在防卫模式下的射程增加<d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>。	Увеличивают дальность атаки «Освободителей» в защитном режиме на <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.
将飓风的武器锁定在目标单位上，在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。	Фокусирует огонь «Циклона» на заданной цели, нанося <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> ед. урона воздушным и наземным целям в течение <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> сек. «Циклон» может перемещаться во время стрельбы. Прекращает стрельбу, когда цель выходит из зоны досягаемости.
使飓风的武器锁定目标空中单位，在<d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。开火时可以移动。如果目标离开射程后则取消。	«Циклон» сосредотачивает огонь на воздушной цели, нанося ей <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> ед. урона в течение <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> сек. Можно атаковать, не прерывая движение. Действие прекращается, когда цель выходит за пределы досягаемости.
