非晶态装甲云	無定型防護雲
钻地鳞片	地底鱗片
灵能奔涌	幽能奔流
净化新星	淨化光球
快速二次点火系统	快速再燃系統
变异为破坏者	變形為劫毀蟲
强化弹药	強化彈藥
精调炸弹	精準高爆彈
建造修理无人机	建造自動維修機
研究强化弹药	研發強化彈藥
反护甲飞弹	反裝甲飛彈
研究护盾扩增	研發護盾強化
研究增能护盾	研發護盾增量
研究穿甲火箭	研發穿甲飛彈
研究航母舱容	研發航空母艦容量
研究高级通信阵列	研發進階通訊陣列
研究高速发射器	研發速射發射器
研究暗影步	研發暗影步法
研究强化冲击波	研發強化衝擊波
研究磁场发射器	研發磁場發射器
研究灵能增幅	研發幽能增幅器
研究灵能奔涌	研發幽能奔流
研究快速二次点火系统	研發快速再燃系統
研究精调炸弹	研發精準高爆彈
研究智能伺服器	研發智能傳動
折跃护盾充能器	躍傳護盾充能器
充能	衝鋒
构造失稳器	地質減穩器
研究构造失稳器	研發地質減穩器
升级精钢护甲	升級新型鋼鐵裝甲
潜伏	隱蔽
使附近的敌人陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击，也不会受到技能效果影响。	使附近的敵人陷入靜滯狀態，持續<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。陷入靜滯狀態的單位無法成為攻擊目標或者受到技能的影響。
使徒的攻击速度提高45%。	教士的攻擊速度提高45%。
<c val="ffff8a">使徒</c>的攻击速度提高45%。	<c val="ffff8a">教士</c>的攻擊速度提高45%。
制造一团遮蔽物，掩护下方的地面单位，使其受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。持续<d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/>秒。	製造一個護罩遮蓋其下方的地面單位，當他們受到空中單位攻擊時，承受的傷害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%，持續<d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/>秒。
<c val="ffff8a">凤凰战机</c>的攻击射程提高<d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>。	<c val="ffff8a">鳳凰戰機</c>的攻擊距離提高<d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>格。
为重工厂和星港制造的单位提供武器和护甲升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在重工厂中制造恶蝠<n/>- 可以在重工厂中制造雷神	提供軍工廠和星際港單位的武器和裝甲升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓軍工廠可建造戰狼<n/>- 讓軍工廠可建造雷神
步兵训练设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 陆战队员<n/>- 收割者<n/>- 使SCV可以建造地堡<n/>- 使指挥中心可以升级为轨道控制基地	步兵生產設施。<n/><n/><c val="ffff8a">功能：</c><n/>- 可訓練陸戰隊<n/>- 可訓練死神<n/>- 讓太空工程車可建造碉堡<n/>- 讓指揮中心可升級為星軌指揮總部
使星灵枢纽附近的目标护盾充能器超载，使其护盾恢复速度加快100%并且使其在<d ref="Behavior,BatteryOvercharge,Duration"/>秒内不消耗能量就可以恢复护盾。	超載星核附近的目標護盾充能器，使其護盾恢復率提高100%，並且在恢復護盾時不消耗能量，持續<d ref="Behavior,BatteryOvercharge,Duration"/>秒。
战车研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 飓风<n/>- 攻城坦克<n/>- 建造军械库可开启雷神	研發載具科技的建築。科技實驗室適用於任何生產類建築。<n/><n/><c val="ffff8a">功能：</c><n/>- 可建造攻城坦克<n/>- 可建造雷神，需具備兵工廠
使用一道光束集中攻击一个敌方单位，使目标的护甲降低3点。<n/>效果会在<d ref="Behavior,BypassArmorDroneTimedLife,Duration"/>秒后结束。	以光束使一名敵方單位的裝甲值降低3點。<n/>效果可持續<d ref="Behavior,BypassArmorDroneTimedLife,Duration"/>秒。
向目标矿脉投放试验性机械矿骡。矿骡的晶体矿采集效率高于SCV。<n/><n/>矿骡的系统在持续工作<d ref="Behavior,MULETimedLife,Duration"/>秒后会瘫痪。	空投一台實驗性的機械礦騾到目標晶礦場。礦騾採集晶礦的速度比太空工程車快。<n/><n/>礦騾在其系統當機前可持續<d ref="Behavior,MULETimedLife,Duration"/>秒。
每艘航母的拦截机最大数量从8提高至10。	航空母艦的攔截機數量上限由8架提升到10架。
<c val="ffff8a">拦截机</c>的约束范围扩大<d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>。	<c val="ffff8a">攔截機</c>的飛行距離提高<d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>格。
使狂热者能拦截附近的敌人，同时还会提高狂热者的移动速度。该技能每<d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>秒最多只能使用一次。	讓狂戰士可攔截附近的敵人，並且提高狂戰士的移動速度。每<d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>秒可使用一次。
对目标建筑进行时空提速，使其运作效率提高<d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>%，持续<d ref="Behavior,ChronoBoostEnergyCost,Duration"/>秒。	讓目標建築進入超時空加速狀態，使該建築的運轉速度提高<d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>%，持續<d ref="Behavior,ChronoBoostEnergyCost,Duration"/>秒。
摧毁该路障可以开辟前往新区域的道路。	摧毀此障礙物後可前往新的區域。
遭到摧毁后将阻挡通道或资源点的岩堆。	可被摧毀的石堆，可用以截斷通往新的區域或資源地點的進出路徑。
为星灵空中单位提供武器和护甲升级方案，并提供折跃门升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃机械哨兵<n/>- 可以在传送门中折跃追猎者<n/>- 可以在传送门中折跃使徒<n/>- 使探机可以折跃护盾充能器	提供神族空中單位的武器與裝甲升級，以及空間之門的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓傳送門可躍傳哨衛 <n/>- 讓傳送門可躍傳追獵者<n/>- 讓傳送門可躍傳教士<n/>- 讓探測機可躍傳護盾充能器
允许飓风的武器和锁定技能瞄准空中单位。	讓颶風飛彈車的武器與鎖定目標技能，能夠以空中單位為目標。
提高锁定技能的前12发飞弹的发射速度。	強化鎖定目標這個技能，提高最初12發飛彈的發射速度。
使飓风的台风飞弹舱和锁定技能可以瞄准空中单位。	讓颶風飛彈車的武器與鎖定目標技能，能夠以空中單位為目標。
提高<c val="ffff8a">飓风</c>的锁定伤害。对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成400点伤害（+400 vs. 重甲）。	提高<c val="ffff8a">颶風飛彈車</c>鎖定目標的傷害。可在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒內對地面或空中單位造成400點傷害(對重甲單位額外提高400點)。
为黑暗圣堂武士提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃黑暗圣堂武士<n/>- 黑暗圣堂武士可以融合为执政官	提供黑暗聖堂武士的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓傳送門可躍傳黑暗聖堂武士<n/>- 黑暗聖堂武士可合併為執政官
将黑暗圣堂武士传送至附近位置。该技能每 <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/>秒只能使用一次。	將黑暗聖堂武士傳送至附近的目標地點。每<d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/>秒可使用一次。
机械干扰型单位。可使用净化新星造成大量的范围伤害。	機械擾敵單位。可以使用淨化光球造成大量範圍傷害。
高浓度太阳能。<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒后爆炸，造成范围伤害。	高度濃縮的太陽能量。會在<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒後爆炸，造成範圍傷害。
该单位潜地的速度会更快。	此單位遁地的速度較快。
<c val="ffff8a">幽灵</c>的EMP弹的范围扩大+<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>。	使<c val="ffff8a">幽靈特務</c>的電磁脈衝彈範圍增加<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>格。
允许<c val="ffff8a">感染者</c> 使用微生物环绕云技能。	讓<c val="ffff8a">感染蟲</c>可使用微生物護罩。
提高<c val="ffff8a">雷兽</c>在菌毯外的移动速度。	<c val="ffff8a">雷獸</c>在蟲苔外的移動速度提高。
<c val="ffff8a">爆虫</c>移动速度提高，生命值增加5点。	提高<c val="ffff8a">毒爆蟲</c>的移動速度，並且生命值提高5點。
<c val="ffff8a">雷兽</c>护甲提高<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>点。	<c val="ffff8a">雷獸</c>的裝甲值提高<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>點。
使<c val="ffff8a">潜伏者</c>潜地的时间从<d time="2.5" precision="1"/>降低至<d time="1" precision="1"/>并提高其移动速度。	<c val="ffff8a">遁地獸</c>遁地所需時間從<d time="2.5" precision="1"/>降低為<d time="1" precision="1"/>，且其移動速度提高。
<c val="ffff8a">雷兽</c>的攻击范围+<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>。	<c val="ffff8a">刺蛇</c>的攻擊距離提高<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>格。
提高<c val="ffff8a">刺蛇</c>的移动速度。	<c val="ffff8a">刺蛇</c>的移動速度提高。
提高<c val="ffff8a">虫道网络</c>和<c val="ffff8a">坑道虫</c>的装载与卸载速度。	提高<c val="ffff8a">蟲殖地網</c>和<c val="ffff8a">地下蠕蟲</c>的裝載與卸載速度。
<c val="ffff8a">蟑螂</c>潜地时可以移动。	讓<c val="ffff8a">蟑螂</c>可在遁地時移動。
自动机炮和猎杀飞弹的伤害提高30%。	渡鴉的自動砲台和導引飛彈的傷害提高30%。
战车生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 恶火<n/>- 寡妇雷<n/>- 飓风	載具生產設施。<n/><n/><c val="ffff8a">功能：</c><n/>- 可建造惡狼<n/>- 可建造寡婦詭雷<n/>- 可建造颶風飛彈車
抽取目标所有能量。每点能量造成<d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/>点伤害。	除去目標的所有能量。每除去1點能量可造成<d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/>點傷害。
为凤凰、虚空辉光舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以从星门折跃风暴战舰</n>- 可以从星门折跃航母<n/>- 可以从星灵枢纽折跃母舰	提供鳳凰戰機和虛空艦的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓星際之門可躍傳暴風艦</n>- 讓星際之門可躍傳航空母艦<n/>- 讓星核可躍傳聖母艦
免疫减速、昏迷、精神控制和位移效果。	對緩速、昏迷、心靈控制及移動變更效果免疫。
目标单位在<d time="4"/>内受到<d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/>点伤害，并且移动速度降低<d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%。 暴露隐形和潜地的单位。受影响的单位无法闪现、或进入装载体或建筑。	使目標單位在<d time="4"/>內受到<d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/>點傷害，移動速度降低<d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%。可使匿蹤或遁地的單位現形。受影響的單位無法瞬移、進入運輸單位或建築物。
为医疗运输机、解放者、战列巡航舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在星港中建造战列巡航舰	提供醫療艇、解放者和戰巡艦的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓星際港可建造戰巡艦
狙击手。能够使用稳定瞄准、EMP弹，还可以在升级后使用隐形技能。能够对幽灵军校发动的聚变打击进行制导。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	狙擊手。可使用精準狙擊及電磁脈衝彈，並可透過升級使用匿蹤。可導引由幽靈特務學院所建造的戰術核彈進行轟炸。<n/><n/><c val="#ColorAttackInfo">可攻擊地面及空中單位。</c>
能够制造供幽灵使用的聚变弹头，并为幽灵提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在兵营中训练幽灵	可建造幽靈特務使用的核彈。提供幽靈特務的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓兵營可訓練幽靈特務
制造一个范围<d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>的光环，使友方单位受到的远程伤害降低2。持续<d time="15"/>。	產生一道靈氣，使範圍<d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>格內所有友方單位受到的遠程傷害降低2點，持續<d time="15"/>。
治疗一个友方生物单位。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/>点生命值。</c>	治療一個友方的生物單位。<n/><n/><c val="f078ff">每1點能量治療<d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/>點生命值。</c>
增加医疗运输机的燃料储备，使后燃推进系统的持续时间延长50%。	提高醫療艇的燃料儲存量，啟動後燃器的持續時間提高50%。
强大的灵能运用大师。能够使用能量反蚀技能，升级后可以使用灵能风暴技能。可以融合为执政官。<n/><n/><c val="ffff8a">可以对地。</c>	強力的幽能大師。可使用潰蝕，並可透過升級使用幽能風暴。可轉化為執政官。<n/><n/><c val="ffff8a">可攻擊地面單位。</c>
为刺蛇提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为刺蛇	提供刺蛇的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓幼蟲可變形為刺蛇
吸收最多<d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>点伤害，持续<d ref="Behavior,ImmortalOverload,Duration"/>秒。该效果每<d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/>秒只能触发一次。	最多可吸收<d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>點傷害，持續<d ref="Behavior,ImmortalOverload,Duration"/>秒。此效果每隔<d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/>秒只能觸發一次。
为感染者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为感染者<n/>- 使幼虫可变异为虫群宿主	提供感染蟲的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓幼蟲可變形為感染蟲<n/>- 讓幼蟲可變形為百生獸
孵化一名被感染的人类，持续<d ref="Behavior,InfestedTerranTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以在潜地时施放。</c>	孵化一名受感染的人類。受感染的人類可存活<d ref="Behavior,InfestedTerranTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可在遁地時施放。</c>
善于感染的虫类。可以使用霉菌滋生、微生物环绕云以及神经寄生能力。	專精於感染的特殊單位。可使用真菌增生、微生物護罩及神經寄生。
把一个空中的目标单位拉到地面，持续<d ref="Behavior,InfestorEnsnare,Duration"/>秒，使其无法攻击，并使各单位把它视作地面单位进行攻击。	將目標空中單位拉至地面<d ref="Behavior,InfestorEnsnare,Duration"/>秒，這段期間內，這個單位無法攻擊，而且所有地面攻擊都可對其造成傷害。
短暂延迟后发生爆炸，造成<d ref="Effect,KD8ChargeExplodeDamage,Amount"/>点伤害并击退附近的单位。	短暫延遲後爆炸，對附近的單位造成<d ref="Effect,KD8ChargeExplodeDamage,Amount"/>點傷害，並且將其擊退。
解放者在防卫模式下的射程增加<d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>。	解放者的防禦者模式射程提高<d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>格。
将飓风的武器锁定在目标单位上，在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。	颶風飛彈車的武器系統鎖定目標單位，在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒內對地面與空中單位造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>點傷害。可以邊移動邊進行射擊。當目標超出射擊範圍時將會取消攻擊。
使飓风的武器锁定目标空中单位，在<d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。开火时可以移动。如果目标离开射程后则取消。	颶風飛彈車的武器系統鎖定目標單位，可在<d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>秒內對空中單位造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>點傷害。可以邊移動邊進行射擊。當目標超出射擊範圍時將會取消攻擊。
将飓风的武器锁定在目标空中单位或空中建筑身上，在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害（+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs 重甲单位）。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。<n/><n/><c val="#ColorAttackInfo">无法锁定地面单位或地面建筑。</c>	颶風飛彈車的武器系統鎖定空中單位或空中建築，可在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒內造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>（對重甲額外造成<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/>）點傷害，最初4發的發射速度比較快。可以邊移動邊進行射擊。當目標超出射擊範圍時將會取消攻擊。<n/><n/><c val="#ColorAttackInfo">無法以地面單位或地面建築為目標。</c>
