非晶态装甲云	Nube de blindaje amorfa
研究灵能增幅	Investigar amplificador psiónico
研究灵能奔涌	Investigar oleada psiónica
研究快速二次点火系统	Investigar sistema de reignición acelerada
研究精调炸弹	Investigar explosivos recalibrados
研究智能伺服器	Investigar servointeligencia
折跃护盾充能器	Invocar batería de escudos
充能	Charge
构造失稳器	Desestabilizadores tectónicos
研究构造失稳器	Investigar desestabilizadores tectónicos
升级精钢护甲	Mejorar armadura de neoacero
潜伏	Ocultamiento
使附近的敌人陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击，也不会受到技能效果影响。	Atrapa a enemigos y los deja en estasis durante <d ref="Behavior,OracleStasisTrapTarget,Duration"/> segundos. Las unidades atrapadas no pueden recibir ataques ni ser objetivo de habilidades.
使徒的攻击速度提高45%。	Aumenta la velocidad de ataque de las adeptas en un 45%.
<c val="ffff8a">使徒</c>的攻击速度提高45%。	Aumenta la velocidad de ataque de las <c val="ffff8a">adeptas</c> en un 45%.
制造一团遮蔽物，掩护下方的地面单位，使其受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。持续<d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/>秒。	Crea un velo que oculta a las unidades terrestres que tiene debajo y reduce un <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% el daño que les infligen las unidades aéreas. Dura <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> segundos.
<c val="ffff8a">凤凰战机</c>的攻击射程提高<d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>。	Aumenta el alcance de ataque del <c val="ffff8a">fénix</c> en <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.
为重工厂和星港制造的单位提供武器和护甲升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在重工厂中制造恶蝠<n/>- 可以在重工厂中制造雷神	Tiene mejoras de armas y blindaje para las unidades de la fábrica y el puerto estelar. <n/><n/><c val="ffff8a">Permite:</c><n/>- Murciélago infernal en la fábrica<n/>- Thor en la fábrica
步兵训练设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 陆战队员<n/>- 收割者<n/>- 使SCV可以建造地堡<n/>- 使指挥中心可以升级为轨道控制基地	Instalación de producción de infantería.<n/><n/><c val="ffff8a">Permite:</c><n/>- Soldados<n/>- Segadores<n/>- Búnkeres construidos por el VCE<n/>- Comandos orbitales desde centros de mando
使星灵枢纽附近的目标护盾充能器超载，使其护盾恢复速度加快100%并且使其在<d ref="Behavior,BatteryOvercharge,Duration"/>秒内不消耗能量就可以恢复护盾。	Sobrecarga una batería de escudos cercana a un nexo, lo que aumenta un 100% su ritmo de restauración de escudo y le permite restaurar los escudos sin consumir energía durante <d ref="Behavior,BatteryOvercharge,Duration"/> segundos.
战车研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 飓风<n/>- 攻城坦克<n/>- 建造军械库可开启雷神	Estructura de investigación de vehículos. El laboratorio tecnológico se acopla a cualquier estructura de producción.<n/><n/><c val="ffff8a">Permite:</c><n/>- Tanques de asedio<n/>- Thor con arsenal
使用一道光束集中攻击一个敌方单位，使目标的护甲降低3点。<n/>效果会在<d ref="Behavior,BypassArmorDroneTimedLife,Duration"/>秒后结束。	Concentra un haz en unidades enemigas y reduce su armadura en 3.<n/>Se agota tras <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> segundos.
向目标矿脉投放试验性机械矿骡。矿骡的晶体矿采集效率高于SCV。<n/><n/>矿骡的系统在持续工作<d ref="Behavior,MULETimedLife,Duration"/>秒后会瘫痪。	Deja un minero MULA robótico experimental en el campo de minerales seleccionado. Las MULAs recolectan minerales más deprisa que los VCE. <n/><n/>Las MULAs duran <d ref="Behavior,MULETimedLife,Duration"/> segundos y luego sus sistemas fallan.
每艘航母的拦截机最大数量从8提高至10。	Aumenta el máximo de interceptores por portanaves de 8 a 10.
<c val="ffff8a">拦截机</c>的约束范围扩大<d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>。	Aumenta el alcance de restricción del <c val="ffff8a">interceptor</c> en <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.
使狂热者能拦截附近的敌人，同时还会提高狂热者的移动速度。该技能每<d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>秒最多只能使用一次。	Permite a los fanáticos interceptar enemigos cercanos. También aumenta la velocidad de movimiento de los fanáticos. La habilidad solo puede usarse una vez cada <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> segundos.
对目标建筑进行时空提速，使其运作效率提高<d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>%，持续<d ref="Behavior,ChronoBoostEnergyCost,Duration"/>秒。	Aplica aceleración cronos a la estructura seleccionada, lo que hace que funcione un <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% más rápido durante <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> segundos.
摧毁该路障可以开辟前往新区域的道路。	Una barrera que se puede destruir para acceder a nuevas áreas.
遭到摧毁后将阻挡通道或资源点的岩堆。	Una torre que se puede destruir para impedir el acceso a nuevas áreas o ubicaciones de recursos.
为星灵空中单位提供武器和护甲升级方案，并提供折跃门升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃机械哨兵<n/>- 可以在传送门中折跃追猎者<n/>- 可以在传送门中折跃使徒<n/>- 使探机可以折跃护盾充能器	Tiene mejoras de armas y blindaje para las unidades aéreas protoss y la mejora del portal de distorsión.<n/><n/><c val="ffff8a">Permite:</c><n/>- Centinelas en el acceso<n/>- Acechadores en el acceso<n/>- Adeptas en el acceso<n/>- Baterías de escudos desde sondas
允许飓风的武器和锁定技能瞄准空中单位。	Permite seleccionar objetivos aéreos para el arma y la habilidad fijar objetivo del ciclón.
提高锁定技能的前12发飞弹的发射速度。	Mejora la habilidad fijar objetivo para que los primeros 12 disparos sean más rápidos.
使飓风的台风飞弹舱和锁定技能可以瞄准空中单位。	Permite seleccionar objetivos aéreos para las plataformas de misil tifón y la habilidad fijar objetivo del ciclón.
提高<c val="ffff8a">飓风</c>的锁定伤害。对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成400点伤害（+400 vs. 重甲）。	Aumenta el daño de fijar objetivo del <c val="ffff8a">ciclón</c>. Inflige 400 de daño (+400 contra unidades blindadas) durante <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> segundos a objetivos terrestres y aéreos.
为黑暗圣堂武士提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃黑暗圣堂武士<n/>- 黑暗圣堂武士可以融合为执政官	Tiene una mejora para los templarios tétricos .<n/><n/><c val="ffff8a">Permite:</c><n/>- Templarios tétricos en el acceso<n/>- Fusionar arcontes desde templarios tétricos
将黑暗圣堂武士传送至附近位置。该技能每 <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/>秒只能使用一次。	Teletransporta al templario tétrico a una ubicación seleccionada cercana. La habilidad solo puede usarse una vez cada <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> segundos.
机械干扰型单位。可使用净化新星造成大量的范围伤害。	Unidad de disrupción robótica. Puede utilizar nova de purificación para infligir un gran daño de área.
高浓度太阳能。<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒后爆炸，造成范围伤害。	Energía solar de alta concentración. Explota tras <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> segundos, lo que inflige daño de área.
该单位潜地的速度会更快。	Esta unidad se entierra más rápido.
<c val="ffff8a">幽灵</c>的EMP弹的范围扩大+<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>。	Aumenta +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/> el radio del proyectil PEM del <c val="ffff8a">fantasma</c>.
允许<c val="ffff8a">感染者</c> 使用微生物环绕云技能。	Permite que los <c val="ffff8a">infestadores</c> usen la habilidad velo microbiano.
提高<c val="ffff8a">雷兽</c>在菌毯外的移动速度。	Aumenta la velocidad de movimiento de los <c val="ffff8a">ultraliscos</c> fuera de la biomateria.
<c val="ffff8a">爆虫</c>移动速度提高，生命值增加5点。	Los <c val="ffff8a">pesteling</c> obtienen más velocidad de movimiento y +5 de vida.
<c val="ffff8a">雷兽</c>护甲提高<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>点。	Aporta +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> de armadura a los <c val="ffff8a">ultraliscos</c>.
使<c val="ffff8a">潜伏者</c>潜地的时间从<d time="2.5" precision="1"/>降低至<d time="1" precision="1"/>并提高其移动速度。	Reduce el tiempo que los <c val="ffff8a">merodeadores</c> tardan en enterrarse de <d time="2.5" precision="1"/> a <d time="1" precision="1"/> y aumenta su velocidad de movimiento.
<c val="ffff8a">雷兽</c>的攻击范围+<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>。	Aumenta el alcance de ataque del <c val="ffff8a">hidralisco</c> en <d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.
提高<c val="ffff8a">刺蛇</c>的移动速度。	Aumenta la velocidad de movimiento del <c val="ffff8a">hidralisco</c>.
提高<c val="ffff8a">虫道网络</c>和<c val="ffff8a">坑道虫</c>的装载与卸载速度。	Aumenta la velocidad de carga y descarga de la <c val="ffff8a">oruga nydus</c> y la <c val="ffff8a">red nydus</c>.
<c val="ffff8a">蟑螂</c>潜地时可以移动。	Permite que las <c val="ffff8a">cucarachas</c> se muevan mientras están enterradas.
自动机炮和猎杀飞弹的伤害提高30%。	Aumenta un 30% el daño infligido por las torretas automáticas y los misiles rastreadores del cuervo.
战车生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 恶火<n/>- 寡妇雷<n/>- 飓风	Instalación de producción de vehículos. <n/><n/><c val="ffff8a">Permite:</c><n/>- Erebiones<n/>- Minas viudas<n/>- Ciclones
抽取目标所有能量。每点能量造成<d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/>点伤害。	Drena toda la energía del objetivo. Inflige <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> de daño por cada punto de energía.
为凤凰、虚空辉光舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以从星门折跃风暴战舰</n>- 可以从星门折跃航母<n/>- 可以从星灵枢纽折跃母舰	Tiene mejoras para los fénix y los rayos de vacío.<n/><n/><c val="ffff8a">Permite:</c><n/>- Tempestades en el portal estelar<n/>- Portanaves en el portal estelar</n>- Nave nodriza desde el nexo
免疫减速、昏迷、精神控制和位移效果。	Inmune a los efectos de frenado, aturdimiento, control mental y alteración de movimiento.
目标单位在<d time="4"/>内受到<d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/>点伤害，并且移动速度降低<d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%。 暴露隐形和潜地的单位。受影响的单位无法闪现、或进入装载体或建筑。	Las unidades seleccionadas reciben <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> de daño durante <d time="4"/> y se reduce su velocidad de movimiento un <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Revela a las unidades invisibles y enterradas. Las unidades afectadas no pueden usar traslación ni entrar en transportes o edificios.
为医疗运输机、解放者、战列巡航舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在星港中建造战列巡航舰	Tiene mejoras para las medevacs, los liberadores y los cruceros de batalla.<n/><n/><c val="ffff8a">Permite:</c><n/>- Cruceros de batalla en el puerto estelar
狙击手。能够使用稳定瞄准、EMP弹，还可以在升级后使用隐形技能。能够对幽灵军校发动的聚变打击进行制导。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Francotirador. Puede utilizar selección estable de objetivo y proyectil PEM; con una mejora, también puede utilizar invisibilidad. Puede solicitar bombas nucleares construidas en la academia fantasma.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas y terrestres.</c>
能够制造供幽灵使用的聚变弹头，并为幽灵提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在兵营中训练幽灵	Tiene mejoras para los fantasmas. Puede construir bombas nucleares para que las utilicen los fantasmas.<n/><n/><c val="ffff8a">Permite:</c><n/>- Fantasmas en el barracón
制造一个范围<d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>的光环，使友方单位受到的远程伤害降低2。持续<d time="15"/>。	Crea un aura de alcance <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> que reduce en 2 el daño a distancia que reciben las unidades amistosas. Dura <d time="15"/>.
治疗一个友方生物单位。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/>点生命值。</c>	Sana a un objetivo biológico amistoso.<n/><n/><c val="f078ff">Sana <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> de vida por cada 1 de energía.</c>
增加医疗运输机的燃料储备，使后燃推进系统的持续时间延长50%。	Aumenta las reservas de combustible de la medevac, lo que permite que iniciar postcombustión dure un 50% más.
强大的灵能运用大师。能够使用能量反蚀技能，升级后可以使用灵能风暴技能。可以融合为执政官。<n/><n/><c val="ffff8a">可以对地。</c>	Puede utilizar retroalimentación y, con una mejora, tormenta psiónica. Puede transformarse en un arconte.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
为刺蛇提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为刺蛇	Tiene mejoras para los hidraliscos.<n/><n/><c val="ffff8a">Permite:</c><n/>- Hidraliscos desde larvas
吸收最多<d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>点伤害，持续<d ref="Behavior,ImmortalOverload,Duration"/>秒。该效果每<d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/>秒只能触发一次。	Absorbe hasta <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> de daño. Dura <d ref="Behavior,ImmortalOverload,Duration"/> segundos. Este efecto solo puede producirse una vez cada <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> segundos.
为感染者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为感染者<n/>- 使幼虫可变异为虫群宿主	Tiene mejoras para los infestadores.<n/><n/><c val="ffff8a">Permite:</c><n/>- Infestadores desde larvas<n/>- Gestadores desde larvas
孵化一名被感染的人类，持续<d ref="Behavior,InfestedTerranTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以在潜地时施放。</c>	Engendra un terran infestado. Los terran infestados duran <d ref="Behavior,InfestedTerranTimedLife,Duration"/> segundos.<n/><n/><c val="ffff8a">Se puede lanzar mientras la unidad está enterrada.</c>
善于感染的虫类。可以使用霉菌滋生、微生物环绕云以及神经寄生能力。	Especialista en infestación. Puede utilizar las habilidades crecimiento fúngico, Velo microbiano y parásito neural.
把一个空中的目标单位拉到地面，持续<d ref="Behavior,InfestorEnsnare,Duration"/>秒，使其无法攻击，并使各单位把它视作地面单位进行攻击。	Derriba una unidad aérea seleccionada durante <d ref="Behavior,InfestorEnsnare,Duration"/> segundos, lo que impide que la unidad ataque y permite a las unidades atacarla como si fuese una unidad terrestre.
短暂延迟后发生爆炸，造成<d ref="Effect,KD8ChargeExplodeDamage,Amount"/>点伤害并击退附近的单位。	Explota tras un breve retraso, lo que inflige <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> de daño y repele a las unidades cercanas.
解放者在防卫模式下的射程增加<d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>。	Aumenta el alcance de los liberadores en el modo defensa en <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.
将飓风的武器锁定在目标单位上，在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。	Marca a la unidad seleccionada como objetivo de las armas del ciclón, lo que inflige <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> de daño durante <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> segundos a objetivos aéreos y terrestres. Puede moverse mientras dispara. Se cancela si el objetivo queda fuera de alcance.
使飓风的武器锁定目标空中单位，在<d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。开火时可以移动。如果目标离开射程后则取消。	Fija a la unidad voladora seleccionada como objetivo del ciclón, lo que le inflige <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> de daño durante <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> segundos. Puede moverse mientras dispara. Se cancela si el objetivo queda fuera de alcance.
