非晶态装甲云	Zasłona amorficzna
研究穿甲火箭	Opracuj rakiety przeciwpancerne
研究航母舱容	Opracuj pojemność lotniskowca
研究高级通信阵列	Opracuj zaawansowany system komunikacji
研究高速发射器	Opracuj szybkostrzelne wyrzutnie
研究暗影步	Opracuj mroczne przejście
研究强化冲击波	Opracuj wzmocnioną falę uderzeniową
研究磁场发射器	Opracuj wyrzutnie magnetyczne
研究灵能增幅	Opracuj wzmacniacze psioniczne
研究灵能奔涌	Opracuj szarżę psioniczną
研究快速二次点火系统	Opracuj układ szybkiego rozruchu
研究精调炸弹	Opracuj skalibrowane ładunki wybuchowe
研究智能伺服器	Opracuj inteligentne serwomechanizmy
折跃护盾充能器	Przyzwij generator osłon
充能	Charge
构造失稳器	Destabilizator tektoniczny
研究构造失稳器	Opracuj destabilizator tektoniczny
升级精钢护甲	Ulepsz pancerz neostalowy
潜伏	Ukrycie
使附近的敌人陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击，也不会受到技能效果影响。	Więzi pobliskich wrogów na <d ref="Behavior,OracleStasisTrapTarget,Duration"/> sek. Uwięzione jednostki nie mogą zostać zaatakowane ani objęte efektami umiejętności.
使徒的攻击速度提高45%。	Zwiększa szybkość ataku adeptów o 45%.
<c val="ffff8a">使徒</c>的攻击速度提高45%。	Zwiększa szybkość ataku <c val="ffff8a">adeptów</c> o 45%.
制造一团遮蔽物，掩护下方的地面单位，使其受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。持续<d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/>秒。	Tworzy nad jednostkami naziemnymi zasłonę, która zmniejsza obrażenia zadawane przez jednostki powietrzne o <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Działa <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> sek.
<c val="ffff8a">凤凰战机</c>的攻击射程提高<d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>。	Zwiększa zasięg ataku <c val="ffff8a">feniksów</c> o <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.
为重工厂和星港制造的单位提供武器和护甲升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在重工厂中制造恶蝠<n/>- 可以在重工厂中制造雷神	Umożliwia ulepszanie uzbrojenia i opancerzenia jednostek tworzonych w fabrykach i portach gwiezdnych. <n/><n/><c val="ffff8a">Udostępnia:</c><n/> – helbaty w fabryce,<n/> – thory w fabryce.
步兵训练设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 陆战队员<n/>- 收割者<n/>- 使SCV可以建造地堡<n/>- 使指挥中心可以升级为轨道控制基地	Placówka szkoleniowa piechoty.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> – marines,<n/> – żniwiarzy,<n/> – bunkry (poprzez ERK),<n/> – dowództwa orbitalne z centrów dowodzenia.
使星灵枢纽附近的目标护盾充能器超载，使其护盾恢复速度加快100%并且使其在<d ref="Behavior,BatteryOvercharge,Duration"/>秒内不消耗能量就可以恢复护盾。	Przeciąża wskazany generator osłon, znajdujący się w pobliżu nexusa, zwiększając tempo przywracania osłon o 100% bez zużycia energii na <d ref="Behavior,BatteryOvercharge,Duration"/> sek.
战车研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 飓风<n/>- 攻城坦克<n/>- 建造军械库可开启雷神	Dobudówka umożliwiająca ulepszanie pojazdów. Laboratorium technologiczne można dołączyć do dowolnego budynku produkcyjnego.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> – czołgi oblężnicze,<n/> – thory (ze zbrojownią)
使用一道光束集中攻击一个敌方单位，使目标的护甲降低3点。<n/>效果会在<d ref="Behavior,BypassArmorDroneTimedLife,Duration"/>秒后结束。	Skupia wiązkę na wrogich jednostkach i zmniejsza wartość ich pancerza o 3 pkt.<n/>Przestaje działać po <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> sek.
向目标矿脉投放试验性机械矿骡。矿骡的晶体矿采集效率高于SCV。<n/><n/>矿骡的系统在持续工作<d ref="Behavior,MULETimedLife,Duration"/>秒后会瘫痪。	Zrzuca na wskazane pole minerałów eksperymentalnego robota wydobywczego MUŁ, który zbiera minerały szybciej niż ERK.<n/><n/>MUŁ-y pracują przez <d ref="Behavior,MULETimedLife,Duration"/> sek., potem ich systemy przestają działać.
每艘航母的拦截机最大数量从8提高至10。	Zwiększa maksymalną liczbę przechwytywaczy w lotniskowcu z 8 do 10.
<c val="ffff8a">拦截机</c>的约束范围扩大<d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>。	Zwiększa zasięg <c val="ffff8a">przechwytywaczy</c> o <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.
使狂热者能拦截附近的敌人，同时还会提高狂热者的移动速度。该技能每<d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>秒最多只能使用一次。	Pozwala zelotom przechwytywać pobliskich wrogów. Zwiększa również szybkość ruchu zelotów. Umiejętności można użyć co <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> sek.
对目标建筑进行时空提速，使其运作效率提高<d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>%，持续<d ref="Behavior,ChronoBoostEnergyCost,Duration"/>秒。	Zagina czasoprzestrzeń wokół wskazanej budowli dzięki czemu działa ona <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% szybciej przez <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> sek.
摧毁该路障可以开辟前往新区域的道路。	Bariera, którą można zniszczyć w celu uzyskania dostępu do nowych obszarów.
遭到摧毁后将阻挡通道或资源点的岩堆。	Wieża, którą można zniszczyć w celu zagrodzenia dostępu do nowych obszarów lub miejsc z surowcami.
为星灵空中单位提供武器和护甲升级方案，并提供折跃门升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃机械哨兵<n/>- 可以在传送门中折跃追猎者<n/>- 可以在传送门中折跃使徒<n/>- 使探机可以折跃护盾充能器	Umożliwia ulepszanie uzbrojenia i opancerzenia wszystkich powietrznych jednostek protosów i opracowanie technologii wrót przesyłowych.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> – wartowników w bramie,<n/> – tropicieli w bramie,<n/> – adeptów w bramie,<n/> – generatory osłon przez próbniki.
允许飓风的武器和锁定技能瞄准空中单位。	Pozwala cyklonowi namierzać i atakować jednostki powietrzne.
提高锁定技能的前12发飞弹的发射速度。	Poprawia zdolność Namierzanie, aby pierwsze 12 strzałów zostało oddanych szybko.
使飓风的台风飞弹舱和锁定技能可以瞄准空中单位。	Pozwala pociskom Tajfun cyklonu namierzać i atakować jednostki powietrzne.
提高<c val="ffff8a">飓风</c>的锁定伤害。对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成400点伤害（+400 vs. 重甲）。	Zwiększa obrażenia zadawane podczas korzystania przez <c val="ffff8a">cyklon</c> podczas namierzania. Zadaje 400 pkt. obrażeń w ciągu <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> sek. celom naziemnym i latającym (+400 celom opancerzonym).
为黑暗圣堂武士提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃黑暗圣堂武士<n/>- 黑暗圣堂武士可以融合为执政官	Umożliwia ulepszanie mrocznych templariuszy.<n/><n/><c val="ffff8a">Udostępnia:</c><n/>– mrocznych templariuszy (w bramie),<n/>– Scalenie w archonta (u mrocznych templariuszy).
将黑暗圣堂武士传送至附近位置。该技能每 <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/>秒只能使用一次。	Teleportuje mrocznego templariusza do pobliskiego, wskazanego miejsca. Zdolności można użyć raz na <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> sek.
机械干扰型单位。可使用净化新星造成大量的范围伤害。	Robot do działań dywersyjnych. Może korzystać z oczyszczającego rozbłysku, aby zadawać poważne obrażenia obszarowe.
高浓度太阳能。<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒后爆炸，造成范围伤害。	Wysoce skoncentrowana energia solarna. Eksploduje po <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> sek. zadając obrażenia na obszarze.
该单位潜地的速度会更快。	Ta jednostka zagrzebuje się szybciej.
<c val="ffff8a">幽灵</c>的EMP弹的范围扩大+<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>。	Zwiększa promień pocisku EMP <c val="ffff8a">ducha</c> o <d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.
允许<c val="ffff8a">感染者</c> 使用微生物环绕云技能。	Udostępnia <c val="ffff8a">infektorom</c> zdolność kłębowiska mikrobów.
提高<c val="ffff8a">雷兽</c>在菌毯外的移动速度。	Zwiększa szybkość ruchu <c val="ffff8a">ultralisków</c> poza biomasą.
<c val="ffff8a">爆虫</c>移动速度提高，生命值增加5点。	<c val="ffff8a">Tępiciele</c> zyskują większą szybkość ruchu oraz +5 pkt. życia.
<c val="ffff8a">雷兽</c>护甲提高<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>点。	<c val="ffff8a">Ultraliski</c> otrzymują +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> do pancerza.
使<c val="ffff8a">潜伏者</c>潜地的时间从<d time="2.5" precision="1"/>降低至<d time="1" precision="1"/>并提高其移动速度。	Skraca czas zagrzebywania się <c val="ffff8a">czyhaczy</c> z <d time="2.5" precision="1"/> do <d time="1" precision="1"/> i zwiększa ich szybkość ruchu.
<c val="ffff8a">雷兽</c>的攻击范围+<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>。	Zwiększa zasięg ataku <c val="ffff8a">hydralisków</c> o <d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.
提高<c val="ffff8a">刺蛇</c>的移动速度。	Zwiększa szybkość ruchu <c val="ffff8a">hydralisków</c>.
提高<c val="ffff8a">虫道网络</c>和<c val="ffff8a">坑道虫</c>的装载与卸载速度。	Zwiększa szybkość załadunku i wyładunku <c val="ffff8a">sieci nydusowej</c> i <c val="ffff8a">czerwi nydusowych</c>.
<c val="ffff8a">蟑螂</c>潜地时可以移动。	Pozwala zagrzebanym <c val="ffff8a">karakanom</c> poruszać się.
自动机炮和猎杀飞弹的伤害提高30%。	Zwiększa o 30% obrażenia zadawane przez wieżyczki automatyczne i pociski Łowca kruków.
战车生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 恶火<n/>- 寡妇雷<n/>- 飓风	Zakład produkujący pojazdy.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> – heliony,<n/> – wdowie miny,<n/>– cyklony.
抽取目标所有能量。每点能量造成<d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/>点伤害。	Pozbawia cel całej energii. Zadaje <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> pkt. obrażeń za każdy odebrany punkt energii.
为凤凰、虚空辉光舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以从星门折跃风暴战舰</n>- 可以从星门折跃航母<n/>- 可以从星灵枢纽折跃母舰	Umożliwia ulepszanie feniksów i promieni otchłani.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> – orkany w gwiezdnych wrotach,</n> – promienie otchłani w gwiezdnych wrotach,<n/> – statek-matkę w nexusie.
免疫减速、昏迷、精神控制和位移效果。	Jednostka odporna na usidlenie, ogłuszenie, kontrolę umysłu i ograniczenie ruchu.
目标单位在<d time="4"/>内受到<d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/>点伤害，并且移动速度降低<d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%。 暴露隐形和潜地的单位。受影响的单位无法闪现、或进入装载体或建筑。	Wskazane jednostki otrzymują <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> pkt. obrażeń w ciągu <d time="4"/>, a ich szybkość ruchu spada o <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Ujawnia zamaskowane i zagrzebane jednostki. Trafione jednostki nie mogą używać Mignięcia ani wchodzić do transportowców i budowli.
为医疗运输机、解放者、战列巡航舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在星港中建造战列巡航舰	Umożliwia ulepszanie promów medycznych, liberatorów i krążowników. <n/><n/><c val="ffff8a">Udostępnia:</c><n/>– krążowniki w porcie gwiezdnym.
狙击手。能够使用稳定瞄准、EMP弹，还可以在升级后使用隐形技能。能够对幽灵军校发动的聚变打击进行制导。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Snajper. Może korzystać ze zdolności wycelowania, pocisków EMP i maskowania (po ulepszeniu). Naprowadza bomby jądrowe tworzone w akademii duchów.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne i powietrzne.</c>
能够制造供幽灵使用的聚变弹头，并为幽灵提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在兵营中训练幽灵	Pozwala konstruować bomby jądrowe wykorzystywane przez duchy. Umożliwia ulepszanie duchów.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> - duchy w koszarach.
制造一个范围<d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>的光环，使友方单位受到的远程伤害降低2。持续<d time="15"/>。	Tworzy aurę o zasięgu <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>, która redukuje o 2 pkt. obrażenia zadawane z dystansu jednostkom sojuszniczym. Działa <d time="15"/>
治疗一个友方生物单位。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/>点生命值。</c>	Leczy sojuszniczy cel biologiczny.<n/><n/><c val="f078ff">Przywraca <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> pkt. życia na 1 pkt. energii.</c>
增加医疗运输机的燃料储备，使后燃推进系统的持续时间延长50%。	Zwiększa rezerwy paliwa promu medycznego, co pozwala dopalaczom działać 50% dłużej.
强大的灵能运用大师。能够使用能量反蚀技能，升级后可以使用灵能风暴技能。可以融合为执政官。<n/><n/><c val="ffff8a">可以对地。</c>	Potężna jednostka psioniczna. Wykorzystuje sprzężenie zwrotne. Można ją ulepszyć, aby rozpętywała burzę psioniczną. Potrafi zmienić się w archonta.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>
为刺蛇提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为刺蛇	Umożliwia ulepszanie hydralisków.<n/><n/><c val="ffff8a">Udostępnia:</c><n/> - hydraliski z larw.
吸收最多<d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>点伤害，持续<d ref="Behavior,ImmortalOverload,Duration"/>秒。该效果每<d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/>秒只能触发一次。	Absorbuje maksymalnie <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> pkt. obrażeń. Działa przez <d ref="Behavior,ImmortalOverload,Duration"/> sek. Ten efekt może nastąpić tylko raz na <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> sek.
为感染者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为感染者<n/>- 使幼虫可变异为虫群宿主	Umożliwia ulepszanie infektorów.<n/><n/><c val="ffff8a">Udostępnia:</c><n/>– infektory z larw,<n/>– nosicieli roju z larw.
孵化一名被感染的人类，持续<d ref="Behavior,InfestedTerranTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以在潜地时施放。</c>	Powija zainfekowanego terranina. Jednostka ta żyje <d ref="Behavior,InfestedTerranTimedLife,Duration"/> sek.<n/><n/><c val="ffff8a">Ze zdolności można korzystać podczas zagrzebania.</c>
善于感染的虫类。可以使用霉菌滋生、微生物环绕云以及神经寄生能力。	Jednostka wyspecjalizowana w infekowaniu. Może wykorzystywać przyrost grzybni, kłębowisko mikrobów i pasożyta neuronalnego.
把一个空中的目标单位拉到地面，持续<d ref="Behavior,InfestorEnsnare,Duration"/>秒，使其无法攻击，并使各单位把它视作地面单位进行攻击。	Ściąga wskazaną jednostkę powietrzną wroga na ziemię na <d ref="Behavior,InfestorEnsnare,Duration"/> sek., wyłącza jej uzbrojenie i pozwala ją atakować tak, jakby była jednostką naziemną.
短暂延迟后发生爆炸，造成<d ref="Effect,KD8ChargeExplodeDamage,Amount"/>点伤害并击退附近的单位。	Materiały wybuchowe z zapalnikiem czasowym, które zadają <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> pkt. obrażeń i odrzucają pobliskie jednostki.
解放者在防卫模式下的射程增加<d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>。	Zwiększa zasięg liberatorów w trybie obrońcy o <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.
将飓风的武器锁定在目标单位上，在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。	Powoduje, że cyklon namierza wskazaną jednostkę i zadaje <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> pkt. obrażeń przez <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> sek. celom naziemnym i latającym. Pozwala poruszać się i atakować jednocześnie. Zdolność zostaje anulowana, gdy cel znajdzie się poza zasięgiem.
使飓风的武器锁定目标空中单位，在<d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。开火时可以移动。如果目标离开射程后则取消。	Wymierza z broni cyklonu do wskazanego celu i zadaje <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> pkt. obrażeń przez <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> sek. Pozwala poruszać się i atakować jednocześnie. Zdolność zostaje anulowana, gdy cel znajdzie się poza zasięgiem.
