非晶态装甲云	Protezione informe
研究强化冲击波	Ricerca Onda d'urto migliorata
研究磁场发射器	Ricerca Lanciamissili a campo magnetico
研究灵能增幅	Ricerca Amplificatori psionici
研究灵能奔涌	Ricerca Picco psionico
研究快速二次点火系统	Ricerca Sistema d'iniezione rapido
研究精调炸弹	Ricerca Esplosivi ricalibrati
研究智能伺服器	Ricerca Servocomponenti ottimizzati
折跃护盾充能器	Evoca Batteria di scudi
充能	Charge
构造失稳器	Destabilizzatori tettonici
研究构造失稳器	Ricerca Destabilizzatori tettonici
升级精钢护甲	Potenzia Corazza in neo-acciaio
潜伏	Occultamento
使附近的敌人陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击，也不会受到技能效果影响。	Mette in stasi i nemici circostanti per <d ref="Behavior,OracleStasisTrapTarget,Duration"/> secondi. Le unità in stasi non possono essere attaccate né colpite dalle abilità.
使徒的攻击速度提高45%。	Aumenta del 45% la velocità di attacco delle Adepte.
<c val="ffff8a">使徒</c>的攻击速度提高45%。	Aumenta del 45% la velocità di attacco delle <c val="ffff8a">Adepte</c>.
制造一团遮蔽物，掩护下方的地面单位，使其受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。持续<d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/>秒。	Crea un manto che protegge le unità terrestri sottostanti, riducendo del <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% i danni che subiscono dalle unità aeree. Dura <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> secondi.
<c val="ffff8a">凤凰战机</c>的攻击射程提高<d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>。	Estende di <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/> la portata d'attacco delle <c val="ffff8a">Fenici</c>.
为重工厂和星港制造的单位提供武器和护甲升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在重工厂中制造恶蝠<n/>- 可以在重工厂中制造雷神	Contiene potenziamenti per armi e corazze per le unità prodotte da Fabbrica e Spazioporto.<n/><n/><c val="ffff8a">Consente:</c><n/>- Hellbat nella Fabbrica<n/>- Thor nella Fabbrica
步兵训练设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 陆战队员<n/>- 收割者<n/>- 使SCV可以建造地堡<n/>- 使指挥中心可以升级为轨道控制基地	Struttura per la produzione di fanteria.<n/><n/><c val="ffff8a">Consente:</c><n/>- Marine<n/>- Mietitori<n/>- Bunker dagli SCV<n/>- Comandi orbitali dai Centri di comando
使星灵枢纽附近的目标护盾充能器超载，使其护盾恢复速度加快100%并且使其在<d ref="Behavior,BatteryOvercharge,Duration"/>秒内不消耗能量就可以恢复护盾。	Sovraccarica una Batteria di scudi bersaglio vicino a un Nexus, aumentandone la velocità di ripristino degli scudi del 100% e permettendole di ripristinare scudi senza consumare energia per <d ref="Behavior,BatteryOvercharge,Duration"/> secondi.
战车研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 飓风<n/>- 攻城坦克<n/>- 建造军械库可开启雷神	Struttura di ricerca per veicoli. Il Modulo tecnologico è adattabile a qualunque struttura di produzione.<n/><n/><c val="ffff8a">Consente:</c><n/>- Carri d'assedio<n/>- Thor con Armeria
使用一道光束集中攻击一个敌方单位，使目标的护甲降低3点。<n/>效果会在<d ref="Behavior,BypassArmorDroneTimedLife,Duration"/>秒后结束。	Concentra contro le unità nemiche un raggio che riduce la loro corazza di 3.<n/>Si disattiva dopo <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> secondi.
向目标矿脉投放试验性机械矿骡。矿骡的晶体矿采集效率高于SCV。<n/><n/>矿骡的系统在持续工作<d ref="Behavior,MULETimedLife,Duration"/>秒后会瘫痪。	Sgancia un minatore robotico sperimentale MULE sul giacimento minerario selezionato. I MULE raccolgono minerali più velocemente degli SCV. <n/><n/>I MULE rimangono in campo <d ref="Behavior,MULETimedLife,Duration"/> secondi prima che il loro sistema vada in avaria.
每艘航母的拦截机最大数量从8提高至10。	Aumenta da 8 a 10 il numero massimo di Intercettori per ogni Portastormo.
<c val="ffff8a">拦截机</c>的约束范围扩大<d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>。	Estende di <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/> la portata di trascinamento degli <c val="ffff8a">Intercettori</c>.
使狂热者能拦截附近的敌人，同时还会提高狂热者的移动速度。该技能每<d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>秒最多只能使用一次。	Aumenta la velocità degli Zeloti e consente loro di intercettare i nemici nelle vicinanze. L'abilità può essere usata solo una volta ogni <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> secondi.
对目标建筑进行时空提速，使其运作效率提高<d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>%，持续<d ref="Behavior,ChronoBoostEnergyCost,Duration"/>秒。	Assoggetta la struttura bersaglio ad Accelerazione temporale, facendola operare più velocemente del <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% per <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> secondi.
摧毁该路障可以开辟前往新区域的道路。	Una barriera che può essere distrutta per ottenere accesso a nuove zone.
遭到摧毁后将阻挡通道或资源点的岩堆。	Torre che si può distruggere per impedire l'accesso a nuove zone o a concentrazioni di risorse.
为星灵空中单位提供武器和护甲升级方案，并提供折跃门升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃机械哨兵<n/>- 可以在传送门中折跃追猎者<n/>- 可以在传送门中折跃使徒<n/>- 使探机可以折跃护盾充能器	Contiene potenziamenti di armi e corazze per le unità aeree protoss e il potenziamento Portale dimensionale.<n/><n/><c val="ffff8a">Consente:</c><n/>- Sentinelle al Portale<n/>- Persecutori al Portale<n/>- Adepte al Portale<n/>- Batterie di scudi dalle Sonde
允许飓风的武器和锁定技能瞄准空中单位。	Consente al Cyclone di puntare su unità aeree con l'arma e l'abilità Aggancio.
提高锁定技能的前12发飞弹的发射速度。	Potenzia Aggancio, consentendo di emettere i primi 12 colpi in rapida successione.
使飓风的台风飞弹舱和锁定技能可以瞄准空中单位。	Consente al Cyclone di puntare su unità aeree con la batteria di missili Typhoon e l'abilità Aggancio.
提高<c val="ffff8a">飓风</c>的锁定伤害。对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成400点伤害（+400 vs. 重甲）。	Aumenta i danni di Aggancio del <c val="ffff8a">Cyclone</c>. Infligge 400 danni (+400 contro corazzate) in <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> secondi ai bersagli terrestri.
为黑暗圣堂武士提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃黑暗圣堂武士<n/>- 黑暗圣堂武士可以融合为执政官	Contiene un potenziamento per il Templare oscuro.<n/><n/><c val="ffff8a">Consente:</c><n/>- Templare oscuro al Portale<n/>- Fusione Arconte da Templare oscuro
将黑暗圣堂武士传送至附近位置。该技能每 <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/>秒只能使用一次。	Teletrasporta il Templare oscuro in una zona vicina. L'abilità può essere usata solo una volta ogni <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> secondi.
机械干扰型单位。可使用净化新星造成大量的范围伤害。	Unità robotica di disturbo. Può usare Supernova purificante per infliggere ingenti danni ad area.
高浓度太阳能。<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒后爆炸，造成范围伤害。	Energia solare altamente concentrata. Esplode dopo <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> s, infliggendo danni ad area.
该单位潜地的速度会更快。	L'unità si rintana più velocemente.
<c val="ffff8a">幽灵</c>的EMP弹的范围扩大+<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>。	Estende il raggio di Proiettile elettromagnetico dei <c val="ffff8a">Fantasmi</c> di <d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.
允许<c val="ffff8a">感染者</c> 使用微生物环绕云技能。	Consente agli <c val="ffff8a">Infestatori</c> di usare l'abilità Manto microbico.
提高<c val="ffff8a">雷兽</c>在菌毯外的移动速度。	Aumenta la velocità di movimento delle <c val="ffff8a">Ultralische</c> fuori dal biostrato.
<c val="ffff8a">爆虫</c>移动速度提高，生命值增加5点。	Aumenta la velocità di movimento dei <c val="ffff8a">Baneling</c> e aumenta di 5 la loro vita.
<c val="ffff8a">雷兽</c>护甲提高<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>点。	Aumenta di <d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> la corazza delle <c val="ffff8a">Ultralische</c>.
使<c val="ffff8a">潜伏者</c>潜地的时间从<d time="2.5" precision="1"/>降低至<d time="1" precision="1"/>并提高其移动速度。	Riduce il tempo necessario al rintanamento delle <c val="ffff8a">Criptolische</c> da <d time="2.5" precision="1"/> a <d time="1" precision="1"/> e aumenta la loro velocità di movimento.
<c val="ffff8a">雷兽</c>的攻击范围+<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>。	Estende la portata d'attacco delle <c val="ffff8a">Idralische</c> di <d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.
提高<c val="ffff8a">刺蛇</c>的移动速度。	Aumenta la velocità di movimento delle <c val="ffff8a">Idralische</c>.
提高<c val="ffff8a">虫道网络</c>和<c val="ffff8a">坑道虫</c>的装载与卸载速度。	Estende la <c val="ffff8a">Rete Nydus</c> e aumenta la velocità di carico e scarico dei <c val="ffff8a">Vermi Nydus</c>.
<c val="ffff8a">蟑螂</c>潜地时可以移动。	Consente alle <c val="ffff8a">Blatte</c> di spostarsi mentre sono rintanate.
自动机炮和猎杀飞弹的伤害提高30%。	Aumenta del 30% i danni delle Torrette automatiche dei Raven e dei Missili a ricerca.
战车生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 恶火<n/>- 寡妇雷<n/>- 飓风	Struttura per la produzione di veicoli.<n/><n/><c val="ffff8a">Consente:</c><n/>- Hellion<n/>- Mine Widow<n/>- Cyclone
抽取目标所有能量。每点能量造成<d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/>点伤害。	Prosciuga tutta l'energia del bersaglio. Infligge <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> punto danno per punto energia.
为凤凰、虚空辉光舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以从星门折跃风暴战舰</n>- 可以从星门折跃航母<n/>- 可以从星灵枢纽折跃母舰	Contiene potenziamenti per Fenici e Lance del Vuoto.<n/><n/><c val="ffff8a">Consente:</c><n/>- Tempeste al Portale stellare</n>- Portastormo al Portale stellare<n/>- Nave madre al Nexus
免疫减速、昏迷、精神控制和位移效果。	Immune agli effetti di rallentamento, stordimento, controllo mentale e del movimento.
目标单位在<d time="4"/>内受到<d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/>点伤害，并且移动速度降低<d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%。 暴露隐形和潜地的单位。受影响的单位无法闪现、或进入装载体或建筑。	I bersagli subiscono <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> danni in <d time="4"/> secondi e la loro velocità di movimento è ridotta del <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Rivela le unità occultate e rintanate. Le unità colpite non possono usare Traslazione né accedere a trasporti o strutture.
为医疗运输机、解放者、战列巡航舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在星港中建造战列巡航舰	Contiene potenziamenti per Navette mediche, Liberatori e Incrociatori.<n/><n/><c val="ffff8a">Consente:</c><n/>- Incrociatori allo Spazioporto
狙击手。能够使用稳定瞄准、EMP弹，还可以在升级后使用隐形技能。能够对幽灵军校发动的聚变打击进行制导。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Cecchino. Può usare Mira salda, Proiettile elettromagnetico e si può potenziare per usare Occultamento. Può richiedere un Attacco nucleare tattico all'Accademia dei Fantasmi.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità terrestri e aeree.</c>
能够制造供幽灵使用的聚变弹头，并为幽灵提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在兵营中训练幽灵	Contiene potenziamenti per i Fantasmi.<n/><n/><c val="ffff8a">Consente:</c><n/>- Fantasmi alla Caserma
制造一个范围<d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>的光环，使友方单位受到的远程伤害降低2。持续<d time="15"/>。	Crea un'aura di ampiezza <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> che riduce di 2 i danni inflitti alle unità amiche dai colpi a distanza. Dura <d time="15"/>.
治疗一个友方生物单位。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/>点生命值。</c>	Cura un bersaglio biologico alleato.<n/><n/><c val="f078ff">Rigenera <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> punti vita per ogni punto energia.</c>
增加医疗运输机的燃料储备，使后燃推进系统的持续时间延长50%。	Aumenta le riserve di carburante della Navetta medica, prolungando del 50% la durata di Postbruciatori.
强大的灵能运用大师。能够使用能量反蚀技能，升级后可以使用灵能风暴技能。可以融合为执政官。<n/><n/><c val="ffff8a">可以对地。</c>	Potente maestro psionico. Può usare Contrappasso e si può potenziare per usare Tempesta psionica. Può fondersi in un Arconte.<n/><n/><c val="ffff8a">Può attaccare unità terrestri.</c>
为刺蛇提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为刺蛇	Contiene potenziamenti per le Idralische.<n/><n/><c val="ffff8a">Consente:</c><n/>- Idralische dalle Larve
吸收最多<d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>点伤害，持续<d ref="Behavior,ImmortalOverload,Duration"/>秒。该效果每<d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/>秒只能触发一次。	Assorbe fino a <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> danni. Dura <d ref="Behavior,ImmortalOverload,Duration"/> secondi. Questo effetto non può verificarsi più di una volta ogni <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> secondi.
为感染者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为感染者<n/>- 使幼虫可变异为虫群宿主	Contiene potenziamenti per gli Infestatori.<n/><n/><c val="ffff8a">Consente:</c><n/>- Infestatori dalle Larve<n/>- Ospiti dello Sciame dalle Larve
孵化一名被感染的人类，持续<d ref="Behavior,InfestedTerranTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以在潜地时施放。</c>	Genera un Terran infestato. I Terran infestati durano <d ref="Behavior,InfestedTerranTimedLife,Duration"/> secondi.<n/><n/><c val="ffff8a">Può essere usata da rintanati.</c>
善于感染的虫类。可以使用霉菌滋生、微生物环绕云以及神经寄生能力。	Specialista di infestazioni. Può usare le abilità Crescita fungina, Manto microbico e Parassita neurale.
把一个空中的目标单位拉到地面，持续<d ref="Behavior,InfestorEnsnare,Duration"/>秒，使其无法攻击，并使各单位把它视作地面单位进行攻击。	Porta al suolo un'unità aerea nemica per <d ref="Behavior,InfestorEnsnare,Duration"/> secondi, disabilitandone le armi e consentendo di attaccarla come se fosse un'unità terrestre.
短暂延迟后发生爆炸，造成<d ref="Effect,KD8ChargeExplodeDamage,Amount"/>点伤害并击退附近的单位。	Esplode dopo un breve ritardo, infliggendo <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> danni e respingendo le unità circostanti.
解放者在防卫模式下的射程增加<d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>。	Estende di <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/> la portata dei Liberatori in Assetto difensore.
将飓风的武器锁定在目标单位上，在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。	Le armi del Cyclone si agganciano all'unità bersaglio, infliggendo <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> danni in <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> secondi a bersagli aerei e terrestri. Permette di sparare in movimento. Si annulla se il bersaglio si sposta fuori portata.
使飓风的武器锁定目标空中单位，在<d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。开火时可以移动。如果目标离开射程后则取消。	Le armi del Cyclone si agganciano all'unità aerea bersaglio, infliggendo <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> danni in <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> secondi. Permette di sparare in movimento. Si annulla se il bersaglio si sposta fuori portata.
