非晶态装甲云	Blindagem Nebulosa Amorfa
Combat_Mechanic_KillTransport_TransportOverlord	Combat_Mechanic_KillTransport_TransportOverlord
Combat_Spells_PhasePrism_Adept	Combat_Spells_PhasePrism_Adept
微生物环绕云	Mortalha Microbiana
充能器超载	Sobrecarga de Bateria
稳定瞄准	Mira Estável
禁用拦截机	Desativar Interceptores
缠绕	Emaranhar
拦截机限时生命	Interceptores - Vida Limitada
拦截机 漫游	Afastar Interceptor
星灵枢纽护盾超载	Sobrecarga de Escudos do Nexus
恢复力场	Campo de Restauração
正在折跃	Transdobrando
相位变换	Deslocamento fásico
干扰矩阵	Matriz de Interferência
护甲降低	Redução de Blindagem
反护甲飞弹追踪	Alvo de Míssil Antiblindagem
共鸣之刃	Glaives Ressonantes
哺液	Transfusão
受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。	O dano recebido de ataques à distância é reduzido em <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.
恢复速度已提高，且不消耗能量。	Taxa de restauração aumentada. Não consome energia.
该单位的护甲已被削减。	A armadura desta unidade está reduzida.
该单位正在专心地瞄准。	Esta unidade está mirando com cuidado.
该建筑当前处于加速运作状态。	Esta estrutura está em estado acelerado.
目标受到霉菌滋生效果的影响。目标现形且移动受限。	O alvo foi afetado por Crescimento Fúngico. O alvo foi detectado e tem movimentação restrita.
该单位被困在了地面，其武器失效。	Esta unidade está aterrada e suas armas estão desativadas.
该单位的移动速度提高了。	Esta unidade está com a velocidade de movimento aumentada.
该单位正受到感染者的控制。	Esta unidade está sendo controlada por um Infestador.
这个水晶塔可以为附近的友方单位恢复护盾。	Este pilar restaura escudos de unidades próximas.
单位的护盾正在恢复。	Escudos da unidade estão sendo restaurados.
该单位无敌并能穿过其它单位。	Essa unidade está invulnerável e consegue atravessar outras unidades.
该水晶塔拥有强大的远程攻击能力。	Este Pilar Energético tem um poderoso ataque de longa distância.
武器和技能被禁用。	Armas e habilidades estão desativadas.
该单位正被一枚反护甲飞弹追踪。	Esta unidade está na mira de um Míssil Antiblindagem.
使徒的攻击速度提高<d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%。	Velocidade de ataque da Adepta aumentada em <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.
该单位已昏迷。	Esta unidade está atordoada.
该单位的攻击和移动速度降低50%。	As velocidades de ataque e movimento desta unidade são reduzidas em 50%.
该单位正在持续恢复生命值。	Esta unidade está regenerando vida.
静滞陷阱	Armadilha de Estase
研究共鸣之刃	Pesquisar Glaives Ressonantes
护盾扩增	Amplificação de Escudo
航母舱容	Capacidade da Transportadora
高级通信阵列	Matriz de Comunicação Avançada
地对空瞄准	Mira Terra-Ar
高速发射器	Lançadores de Fogo Rápido
研究电磁力场加速器	Pesquisar Acelerador de Campo Magnético
暗影步	Passada Sombria
钻地之爪	Garras Perfuradoras
强化冲击波	Ondas de Choque Aprimoradas
进化微生物环绕云	Evoluir Mortalha Microbiana
进化适应之爪	Evoluir Garras Adaptáveis
进化深槽脊刺	Evoluir Ferrões
进化肌腱扩增	Evoluir Desenvolvimento Muscular
进化挤压蠕动	Evoluir Movimentos Peristálticos Propulsivos
扩大攻击范围	Alcance de Ataque Aumentado
提高移动速度	Velocidade de Movimento Aumentada
选择幼虫	Selecionar Larva
磁场发射器	Lançadores de Campo Magnético
侦测器模式	Modo Vigia
监察模式	Modo de Observação
变异腹囊	Transmutar Bolsas Ventrais
取消超距视界	Cancelar Vigilância
超距视界	Vigilância
战术召回	Chamado Estratégico
星灵枢纽护盾超载关闭	Sobrecarga de Escudos do Nexus Desativada
钻地鳞片	Escamas Subterrâneas
灵能奔涌	Surto Psiônico
净化新星	Nova de Purificação
快速二次点火系统	Sistema de Reignição Rápida
变异为破坏者	Transmutar para Devastador
强化弹药	Munições Aprimoradas
精调炸弹	Explosivos Recalibrados
建造修理无人机	Construir Drone de Conserto
研究强化弹药	Pesquisar Munições Aprimoradas
反护甲飞弹	Míssil Antiblindagem
研究护盾扩增	Pesquisar Amplificação de Escudo
研究增能护盾	Pesquisar Escudo Amplificado
研究穿甲火箭	Pesquisar Foguetes Antiblindagem
研究航母舱容	Pesquisar Capacidade da Transportadora
研究高级通信阵列	Pesquisar Matriz de Comunicação Avançada
研究高速发射器	Pesquisar Lançadores de Fogo Rápido
研究暗影步	Pesquisar Passada Sombria
研究强化冲击波	Pesquisar Ondas de Choque Aprimoradas
研究磁场发射器	Pesquisar Lançadores de Campo Magnético
研究灵能增幅	Pesquisar Amplificadores Psiônicos
研究灵能奔涌	Pesquisar Surto Psiônico
研究快速二次点火系统	Pesquisar Sistema de Reignição Rápida
研究精调炸弹	Pesquisar Explosivos Recalibrados
研究智能伺服器	Pesquisar Servomecanismos Inteligentes
折跃护盾充能器	Transdobrar Bateria de Escudo
充能	Carga
构造失稳器	Desestabilizadores Tectônicos
研究构造失稳器	Pesquisar Desestabilizadores Tectônicos
升级精钢护甲	Aprimorar Armadura de Novoaço
潜伏	Encobrimento
使附近的敌人陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击，也不会受到技能效果影响。	Prende inimigos próximos em estase por <d ref="Behavior,OracleStasisTrapTarget,Duration"/> segundos. Unidades presas não podem ser atacadas nem afetadas por habilidades.
使徒的攻击速度提高45%。	Aumenta a velocidade de ataque das Adeptas em 45%.
<c val="ffff8a">使徒</c>的攻击速度提高45%。	Aumenta a velocidade de ataque das <c val="ffff8a">Adeptas</c> em 45%.
制造一团遮蔽物，掩护下方的地面单位，使其受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。持续<d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/>秒。	Cria uma mortalha que encobre as unidades terrestres sob ela, reduzindo o dano recebido de unidades aéreas em <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Dura <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> s.
<c val="ffff8a">凤凰战机</c>的攻击射程提高<d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>。	Aumenta em <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/> o alcance de ataque da <c val="ffff8a">Fênix</c>.
为重工厂和星港制造的单位提供武器和护甲升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在重工厂中制造恶蝠<n/>- 可以在重工厂中制造雷神	Contém aprimoramentos de armas e blindagem para unidades da Fábrica e do Estaleiro Sideral. <n/><n/><c val="ffff8a">Ativa:</c><n/>- Morcego Infernal na Fábrica<n/>- Thor na Fábrica
步兵训练设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 陆战队员<n/>- 收割者<n/>- 使SCV可以建造地堡<n/>- 使指挥中心可以升级为轨道控制基地	Instalação de produção de infantaria. <n/><n/><c val="ffff8a">Ativa:</c><n/>- Soldados<n/>- Exterminadores<n/>- Casamatas a partir de VCEs<n/>- Comandos Orbitais a partir de Centrais de Comando
使星灵枢纽附近的目标护盾充能器超载，使其护盾恢复速度加快100%并且使其在<d ref="Behavior,BatteryOvercharge,Duration"/>秒内不消耗能量就可以恢复护盾。	Sobrecarrega uma Bateria de Escudo próxima a um Nexus, aumentando sua taxa de restauração de escudo em 100% e permitindo restaurar escudos sem consumir energia por <d ref="Behavior,BatteryOvercharge,Duration"/> s.
战车研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 飓风<n/>- 攻城坦克<n/>- 建造军械库可开启雷神	Estrutura de pesquisa veicular. O Laboratório Técnico pode ser anexado a qualquer estrutura de produção.<n/><n/><c val="ffff8a">Ativa:</c><n/>- Tanques de Cerco<n/>- Thor com Arsenal
使用一道光束集中攻击一个敌方单位，使目标的护甲降低3点。<n/>效果会在<d ref="Behavior,BypassArmorDroneTimedLife,Duration"/>秒后结束。	Concentra um feixe nas unidades inimigas e reduz a armadura em 3.<n/>Expira depois de <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> segundos.
向目标矿脉投放试验性机械矿骡。矿骡的晶体矿采集效率高于SCV。<n/><n/>矿骡的系统在持续工作<d ref="Behavior,MULETimedLife,Duration"/>秒后会瘫痪。	Solta um mineiro robótico experimental MULE na jazida de minérios alvejada. MULEs extraem minérios mais rápido do que VCEs.  <n/><n/>MULEs duram <d ref="Behavior,MULETimedLife,Duration"/> s até os sistemas falharem.
每艘航母的拦截机最大数量从8提高至10。	Aumenta de 8 para 10 o máximo de Interceptores por Transportadora.
<c val="ffff8a">拦截机</c>的约束范围扩大<d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>。	Aumenta em <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/> o alcance da rédea do <c val="ffff8a">Interceptor</c>.
使狂热者能拦截附近的敌人，同时还会提高狂热者的移动速度。该技能每<d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>秒最多只能使用一次。	Permite que Fanáticus interceptem inimigos próximos. Também aumenta a velocidade de movimento dos Fanáticus. A habilidade só pode ser usada a cada <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> s.
对目标建筑进行时空提速，使其运作效率提高<d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>%，持续<d ref="Behavior,ChronoBoostEnergyCost,Duration"/>秒。	Coloca a estrutura alvejada em um Reforço Temporal, fazendo com que ela opere <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% mais rápido por <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> s.
摧毁该路障可以开辟前往新区域的道路。	Uma barreira que quando destruída dá acesso a novas áreas.
遭到摧毁后将阻挡通道或资源点的岩堆。	Uma torre que pode ser destruída para impedir o acesso a novas áreas e recursos.
为星灵空中单位提供武器和护甲升级方案，并提供折跃门升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃机械哨兵<n/>- 可以在传送门中折跃追猎者<n/>- 可以在传送门中折跃使徒<n/>- 使探机可以折跃护盾充能器	Contém aprimoramentos de armas e blindagem para unidades aéreas protoss.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Sentinelas no Portal<n/>- Tormentos no Portal<n/>- Adeptos no Portal<n/>- Baterias de Escudo nas Sondas
允许飓风的武器和锁定技能瞄准空中单位。	Permite que a arma do Ciclone e a habilidade Travar alvejem unidades aéreas.
提高锁定技能的前12发飞弹的发射速度。	Aprimora a habilidade Travar para disparar os 12 primeiros tiros mais rápido.
使飓风的台风飞弹舱和锁定技能可以瞄准空中单位。	Permite que os Lança-mísseis Tufão do Ciclone e a habilidade Travar alvejem unidades aéreas.
提高<c val="ffff8a">飓风</c>的锁定伤害。对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成400点伤害（+400 vs. 重甲）。	Aumenta o dano de Travar do <c val="ffff8a">Ciclone</c>. Causa 400 de dano (+400 contra Blindados) ao longo de <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> s aos alvos terrestres e voadores.
为黑暗圣堂武士提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃黑暗圣堂武士<n/>- 黑暗圣堂武士可以融合为执政官	Contém aprimoramentos para o Templário das Trevas.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Templário das Trevas no Portal<n/>- Fusão em Arconte a partir de Templário das Trevas
将黑暗圣堂武士传送至附近位置。该技能每 <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/>秒只能使用一次。	Teleporta o Templário das Trevas até um local selecionado próximo. A habilidade só pode ser usada uma vez a cada <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> segundos.
机械干扰型单位。可使用净化新星造成大量的范围伤害。	Unidade robótica de disrupção. Usa Nova de Purificação, que causa dano de área pesado.
高浓度太阳能。<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒后爆炸，造成范围伤害。	Energia solar altamente concentrada. Explode depois de <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> segundos, causando dano de área.
该单位潜地的速度会更快。	Esta unidade se entoca mais rápido.
<c val="ffff8a">幽灵</c>的EMP弹的范围扩大+<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>。	Aumenta o raio da Munição PEM do <c val="ffff8a">Fantasma</c> em +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.
允许<c val="ffff8a">感染者</c> 使用微生物环绕云技能。	Permite que <c val="ffff8a">Infestadores</c> usem a habilidade Mortalha Microbiana.
提高<c val="ffff8a">雷兽</c>在菌毯外的移动速度。	Aumenta a velocidade de movimento do <c val="ffff8a">Mammuthus</c> fora da gosma.
<c val="ffff8a">爆虫</c>移动速度提高，生命值增加5点。	<c val="ffff8a">Tatus-bomba</c> ganham aumento de velocidade de movimento e +5 de vida.
<c val="ffff8a">雷兽</c>护甲提高<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>点。	Dá +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> de blindagem ao <c val="ffff8a">Mammuthus</c>.
使<c val="ffff8a">潜伏者</c>潜地的时间从<d time="2.5" precision="1"/>降低至<d time="1" precision="1"/>并提高其移动速度。	Reduz o tempo que os <c val="ffff8a">Furtivos</c> levam para se entocar de <d time="2.5" precision="1"/> para <d time="1" precision="1"/> e aumenta sua velocidade de movimento.
<c val="ffff8a">雷兽</c>的攻击范围+<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>。	Aumenta o alcance de ataque da <c val="ffff8a">Hidralisca</c> em +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.
提高<c val="ffff8a">刺蛇</c>的移动速度。	Aumenta a velocidade de movimento das <c val="ffff8a">Hidraliscas</c>.
提高<c val="ffff8a">虫道网络</c>和<c val="ffff8a">坑道虫</c>的装载与卸载速度。	Aumenta as velocidades de carregamento e descarregamento da <c val="ffff8a">Rede Nydus</c> e do <c val="ffff8a">Verme Nydus</c>.
<c val="ffff8a">蟑螂</c>潜地时可以移动。	Possibilita que as <c val="ffff8a">Baratas</c> se movam enquanto estiverem entocadas.
自动机炮和猎杀飞弹的伤害提高30%。	Aumenta o dano da Torre de Artilharia Automatizada e dos Mísseis Teleguiados do Corvo em 30%.
战车生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 恶火<n/>- 寡妇雷<n/>- 飓风	Instalação de produção veicular. <n/><n/><c val="ffff8a">Ativa:</c><n/>- Endiabrados<n/>- Minas Viúvas<n/>- Ciclones
抽取目标所有能量。每点能量造成<d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/>点伤害。	Drena toda a energia do alvo. Causa <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> de dano por ponto de energia.
为凤凰、虚空辉光舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以从星门折跃风暴战舰</n>- 可以从星门折跃航母<n/>- 可以从星灵枢纽折跃母舰	Contém aprimoramentos para Fênix e Destruidoras.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Tempestos no Portal Intergaláctico</n>- Transportadoras no Portal Intergaláctico<n/>- Nave-mãe no Nexus
免疫减速、昏迷、精神控制和位移效果。	Imune a efeitos de armadilha, paralisação, controle mental e a habilidades que alteram movimento.
目标单位在<d time="4"/>内受到<d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/>点伤害，并且移动速度降低<d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%。 暴露隐形和潜地的单位。受影响的单位无法闪现、或进入装载体或建筑。	As unidades alvejadas recebem <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> de dano ao longo de <d time="4"/> e têm a velocidade de movimento reduzida em <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Revela unidades camufladas e entocadas. Unidades afetadas não podem usar Translação e não podem se abrigar em estruturas nem embarcar em transportes.
为医疗运输机、解放者、战列巡航舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在星港中建造战列巡航舰	Contém aprimoramentos para Ambunave, Libertador e Cruzador de Batalha. <n/><n/><c val="ffff8a">Ativa:</c><n/>- Cruzadores de Batalha no Estaleiro Sideral
狙击手。能够使用稳定瞄准、EMP弹，还可以在升级后使用隐形技能。能够对幽灵军校发动的聚变打击进行制导。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Atirador de elite. Usa Mira Estável, Munição PEM e pode ser aprimorado para usar Camuflagem. Convoca Armas Nucleares Táticas construídas na Academia Fantasma.<n/><n/><c val="#ColorAttackInfo">Ataca unidades terrestres e aéreas.</c>
能够制造供幽灵使用的聚变弹头，并为幽灵提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在兵营中训练幽灵	Contém um aprimoramento para Fantasmas. Constrói Armas nucleares para Fantasmas.<n/><n/><c val="ffff8a">Ativa:</c><n/>- Fantasmas no Quartel
制造一个范围<d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>的光环，使友方单位受到的远程伤害降低2。持续<d time="15"/>。	Cria uma aura de alcance <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> que reduz em 2 o dano de ataques a distância recebidos por unidades aliadas. Dura <d time="15"/>.
治疗一个友方生物单位。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/>点生命值。</c>	Cura um alvo biológico aliado.<c val="f078ff"> Cura <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> de vida por ponto de energia.</c>
增加医疗运输机的燃料储备，使后燃推进系统的持续时间延长50%。	Aumenta as reservas de combustível da Ambunave, permitindo que Ignição Pós-combustão dure 50% mais.
强大的灵能运用大师。能够使用能量反蚀技能，升级后可以使用灵能风暴技能。可以融合为执政官。<n/><n/><c val="ffff8a">可以对地。</c>	Mestre psiônico potente. Pode utilizar Feedback e ser aprimorado para utilizar Tempestade Psiônica. Pode se transformar em um Arconte.<n/><n/><c val="ffff8a">Ataca unidades terrestres.</c>
为刺蛇提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为刺蛇	Contém aprimoramentos para Hidraliscas.<n/><n/><c val="ffff8a">Ativa:</c><n/>- Hidraliscas a partir de Larvas
吸收最多<d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>点伤害，持续<d ref="Behavior,ImmortalOverload,Duration"/>秒。该效果每<d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/>秒只能触发一次。	Absorve até <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> de dano. Dura <d ref="Behavior,ImmortalOverload,Duration"/> segundos. Este efeito só pode ocorrer uma vez a cada <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> segundos.
为感染者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为感染者<n/>- 使幼虫可变异为虫群宿主	Contém aprimoramentos para Infestadores.<n/><n/><c val="ffff8a">Ativa:</c><n/>- Infestadores a partir de Larvas<n/>- Hospedeiros do Enxame a partir de Larvas
孵化一名被感染的人类，持续<d ref="Behavior,InfestedTerranTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以在潜地时施放。</c>	Gera um Terrano Infestado. Terranos Infestados duram <d ref="Behavior,InfestedTerranTimedLife,Duration"/> s. Sobre a gosma, Ovos de Terrano Infestado chocam <n/><n/><c val="ffff8a">Pode ser lançada enquanto está entocado.</c>
善于感染的虫类。可以使用霉菌滋生、微生物环绕云以及神经寄生能力。	Especialista em infestação. Pode usar as habilidades Crescimento Fúngico, Mortalha Microbiana e Parasita Neural.
把一个空中的目标单位拉到地面，持续<d ref="Behavior,InfestorEnsnare,Duration"/>秒，使其无法攻击，并使各单位把它视作地面单位进行攻击。	Traz uma unidade aérea ao solo por <d ref="Behavior,InfestorEnsnare,Duration"/> segundos, impedindo que ela ataque e permitindo que unidades a ataquem como se fosse uma unidade terrestre.
短暂延迟后发生爆炸，造成<d ref="Effect,KD8ChargeExplodeDamage,Amount"/>点伤害并击退附近的单位。	Explode após algum tempo, causando <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> de dano e repelindo unidades próximas.
解放者在防卫模式下的射程增加<d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>。	Aumenta em <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/> o alcance dos Libertadores no Modo de Defesa.
将飓风的武器锁定在目标单位上，在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。	Trava as armas do Ciclone na unidade selecionada, causando <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> de dano ao longo de <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> s a alvos terrestres e voadores. Pode se mover enquanto dispara. A trava é cancelada quando o alvo sai do alcance.
使飓风的武器锁定目标空中单位，在<d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。开火时可以移动。如果目标离开射程后则取消。	Trava as armas do Ciclone na unidade aérea alvejada, causando <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> de dano ao longo de <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> segundos. Pode se mover enquanto dispara. É cancelado se o alvo sair do alcance.
