非晶态装甲云	Amorphe Deckungswolke
研究护盾扩增	Schildverstärkung erforschen
研究增能护盾	Schildamplifikation erforschen
研究穿甲火箭	Panzerbrechende Raketen erforschen
研究航母舱容	Trägerkapazität erforschen
研究高级通信阵列	Verbesserte Kommunikationsanlage erforschen
研究高速发射器	Schnellfeuermechanismus erforschen
研究暗影步	Schattenflucht erforschen
研究强化冲击波	Verbesserte Schockwellen erforschen
研究磁场发射器	Magnetfeldwerfer erforschen
研究灵能增幅	Psi-Verstärker erforschen
研究灵能奔涌	Psionischen Aufprall erforschen
研究快速二次点火系统	Schnelldurchzündungssystem erforschen
研究精调炸弹	Verbesserte Sprengladung erforschen
研究智能伺服器	Intelligente Servos erforschen
折跃护盾充能器	Schildbatterie heranwarpen
充能	Charge
构造失稳器	Tektonikdestabilisierung
研究构造失稳器	Tektonikdestabilisierung erforschen
升级精钢护甲	Upgrade für Neostahlpanzerung
潜伏	Verbergen
使附近的敌人陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击，也不会受到技能效果影响。	Versetzt nahe Gegner <d ref="Behavior,OracleStasisTrapTarget,Duration"/> Sek. lang in Stasis. Gefangene Einheiten können weder angegriffen noch von Fähigkeiten getroffen werden.
使徒的攻击速度提高45%。	Erhöht die Angriffsgeschwindigkeit von Adepten um 45%.
<c val="ffff8a">使徒</c>的攻击速度提高45%。	Erhöht die Angriffsgeschwindigkeit von <c val="ffff8a">Adepten</c> um 45%.
制造一团遮蔽物，掩护下方的地面单位，使其受到空中单位的伤害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。持续<d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/>秒。	Erschafft einen Schleier, der Bodeneinheiten verhüllt und ihren von Lufteinheiten erlittenen Schaden um <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>% verringert. Hält <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> Sek. lang an.
<c val="ffff8a">凤凰战机</c>的攻击射程提高<d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>。	Erhöht die Angriffsreichweite von <c val="ffff8a">Phönixen</c> um <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.
为重工厂和星港制造的单位提供武器和护甲升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在重工厂中制造恶蝠<n/>- 可以在重工厂中制造雷神	Bietet Upgrademöglichkeiten für Waffen und Panzerung von Einheiten, die in der Fabrik oder im Raumhafen gebaut werden. <n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Kampfhellions in der Fabrik<n/>- Thore in der Fabrik
步兵训练设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 陆战队员<n/>- 收割者<n/>- 使SCV可以建造地堡<n/>- 使指挥中心可以升级为轨道控制基地	Ausbildungseinrichtung für Infanterie-Einheiten.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Space-Marines<n/>- Rächer<n/>- Bau von Bunkern durch WBFs<n/>- Satellitenzentralen aus Kommandozentralen
使星灵枢纽附近的目标护盾充能器超载，使其护盾恢复速度加快100%并且使其在<d ref="Behavior,BatteryOvercharge,Duration"/>秒内不消耗能量就可以恢复护盾。	Überlädt die anvisierte Schildbatterie in der Nähe eines Nexus, wodurch sie Schilde 100% schneller wiederherstellt und <d ref="Behavior,BatteryOvercharge,Duration"/> Sek. lang keine Energie verbraucht.
战车研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 飓风<n/>- 攻城坦克<n/>- 建造军械库可开启雷神	Forschungseinrichtung für Fahrzeugverbesserungen. Tech-Labore können an jede Produktionseinrichtung angeschlossen werden.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Belagerungspanzer<n/>- Thore (mit Waffenlager)
使用一道光束集中攻击一个敌方单位，使目标的护甲降低3点。<n/>效果会在<d ref="Behavior,BypassArmorDroneTimedLife,Duration"/>秒后结束。	Richtet einen Strahl auf gegnerische Einheiten und verringert deren Panzerung um 3.<n/>Bleibt <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> Sek. lang bestehen.
向目标矿脉投放试验性机械矿骡。矿骡的晶体矿采集效率高于SCV。<n/><n/>矿骡的系统在持续工作<d ref="Behavior,MULETimedLife,Duration"/>秒后会瘫痪。	Schickt einen experimentellen, robotischen M.U.L.E.-Schürfer zum angewählten Mineralienfeld. M.U.L.E.s bauen Mineralien schneller ab als WBFs.<n/><n/>Die Systeme der M.U.L.E.s versagen nach <d ref="Behavior,MULETimedLife,Duration"/> Sek.
每艘航母的拦截机最大数量从8提高至10。	Erhöht die maximale Anzahl an Interceptoren pro Träger von 8 auf 10.
<c val="ffff8a">拦截机</c>的约束范围扩大<d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>。	Erhöht die Einsatzreichweite von <c val="ffff8a">Interceptoren</c> um <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.
使狂热者能拦截附近的敌人，同时还会提高狂热者的移动速度。该技能每<d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>秒最多只能使用一次。	Ermöglicht Berserkern, nahe Feinde abzufangen. Erhöht gleichzeitig die Bewegungsgeschwindigkeit von Berserkern. Diese Fähigkeit kann nur einmal alle <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> Sek. eingesetzt werden.
对目标建筑进行时空提速，使其运作效率提高<d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>%，持续<d ref="Behavior,ChronoBoostEnergyCost,Duration"/>秒。	Lässt das Zielgebäude in eine Zeitschleife übergehen und somit <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> Sek. lang <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% schneller arbeiten.
摧毁该路障可以开辟前往新区域的道路。	Eine Barriere, die zerstört werden kann, um Zugriff auf neue Gebiete zu erlangen.
遭到摧毁后将阻挡通道或资源点的岩堆。	Ein Felshaufen, der zerstört werden kann, um Zugriff auf neue Gebiete oder Ressourcenvorkommen zu verhindern.
为星灵空中单位提供武器和护甲升级方案，并提供折跃门升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃机械哨兵<n/>- 可以在传送门中折跃追猎者<n/>- 可以在传送门中折跃使徒<n/>- 使探机可以折跃护盾充能器	Bietet Upgrademöglichkeiten für Waffen und Panzerung von Protoss-Lufteinheiten sowie für die Warptor-Technologie.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Protektoren im Warpknoten<n/>- Hetzer im Warpknoten<n/>- Adepten im Warpknoten<n/>- Schildbatterien durch Sonden
允许飓风的武器和锁定技能瞄准空中单位。	Ermöglicht dem Zyklon, Lufteinheiten mit seiner Waffe sowie der Fähigkeit "Erfassen" anzuvisieren.
提高锁定技能的前12发飞弹的发射速度。	Verbessert die Fähigkeit "Erfassen", sodass 12 Schüsse schnell hintereinander abgefeuert werden.
使飓风的台风飞弹舱和锁定技能可以瞄准空中单位。	Ermöglicht dem Zyklon, Lufteinheiten mit der Taifunraketenbatterie sowie der Fähigkeit "Erfassen" anzuvisieren.
提高<c val="ffff8a">飓风</c>的锁定伤害。对地面和空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成400点伤害（+400 vs. 重甲）。	Erhöht den Schaden der Fähigkeit "Erfassen" des <c val="ffff8a">Zyklons</c>. Fügt erfassten Boden- und Luftzielen im Verlauf von <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> Sek. 400 (+400 gegen gepanzerte Einheiten) Schaden zu.
为黑暗圣堂武士提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃黑暗圣堂武士<n/>- 黑暗圣堂武士可以融合为执政官	Bietet Upgrademöglichkeiten für Dunkle Templer.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Dunkle Templer im Warpknoten<n/>- Archons aus Dunklen Templern
将黑暗圣堂武士传送至附近位置。该技能每 <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/>秒只能使用一次。	Teleportiert den Dunklen Templer zu einer nahe gelegenen Zielposition. Diese Fähigkeit kann nur einmal alle <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> Sek. eingesetzt werden.
机械干扰型单位。可使用净化新星造成大量的范围伤害。	Robotische Kontereinheit. Kann die Fähigkeit "Psi-Nova" einsetzen, um schweren Flächenschaden zu verursachen.
高浓度太阳能。<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒后爆炸，造成范围伤害。	Hochkonzentrierte Solarenergie. Explodiert nach <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> Sek. und verursacht Flächenschaden.
该单位潜地的速度会更快。	Diese Einheit gräbt sich schneller ein.
<c val="ffff8a">幽灵</c>的EMP弹的范围扩大+<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>。	Erhöht den Radius der Fähigkeit "EMP-Projektil" von <c val="ffff8a">Ghosts</c> um <d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.
允许<c val="ffff8a">感染者</c> 使用微生物环绕云技能。	Ermöglicht <c val="ffff8a">Verseuchern</c> den Einsatz der Fähigkeit "Mikrobischer Schleier".
提高<c val="ffff8a">雷兽</c>在菌毯外的移动速度。	Erhöht die Bewegungsgeschwindigkeit von <c val="ffff8a">Ultralisken</c> abseits von Kriecher.
<c val="ffff8a">爆虫</c>移动速度提高，生命值增加5点。	<c val="ffff8a">Berstlinge</c> erhalten erhöhte Bewegungsgeschwindigkeit und +5 Trefferpunkte.
<c val="ffff8a">雷兽</c>护甲提高<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>点。	Erhöht die Panzerung von <c val="ffff8a">Ultralisken</c> um <d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>.
使<c val="ffff8a">潜伏者</c>潜地的时间从<d time="2.5" precision="1"/>降低至<d time="1" precision="1"/>并提高其移动速度。	Verringert die Eingrabezeit von <c val="ffff8a">Schleichern</c> von <d time="2.5" precision="1"/> auf <d time="1" precision="1"/> und erhöht ihre Bewegungsgeschwindigkeit.
<c val="ffff8a">雷兽</c>的攻击范围+<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>。	Erhöht die Angriffsreichweite von <c val="ffff8a">Hydralisken</c> um <d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.
提高<c val="ffff8a">刺蛇</c>的移动速度。	Erhöht die Bewegungsgeschwindigkeit von <c val="ffff8a">Hydralisken</c>.
提高<c val="ffff8a">虫道网络</c>和<c val="ffff8a">坑道虫</c>的装载与卸载速度。	Erhöht die Geschwindigkeit, mit der das <c val="ffff8a">Nydusnetzwerk</c> und der <c val="ffff8a">Nyduswurm</c> Einheiten ein- und ausladen.
<c val="ffff8a">蟑螂</c>潜地时可以移动。	Ermöglicht es <c val="ffff8a">Schaben</c>, sich im eingegrabenen Zustand zu bewegen.
自动机炮和猎杀飞弹的伤害提高30%。	Erhöht den Schaden der automatischen Geschütztürme und zielsuchenden Raketen des Raven um 30%.
战车生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 恶火<n/>- 寡妇雷<n/>- 飓风	Produktionseinrichtung für Fahrzeuge.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Hellions<n/>- Arachnominen<n/>- Zyklone
抽取目标所有能量。每点能量造成<d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/>点伤害。	Entzieht dem Ziel alle Energie. Verursacht pro Energiepunkt <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> Schaden.
为凤凰、虚空辉光舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以从星门折跃风暴战舰</n>- 可以从星门折跃航母<n/>- 可以从星灵枢纽折跃母舰	Bietet Upgrademöglichkeiten für Phönixe und Phasengleiter.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Tempests im Raumportal<n/>- Träger im Raumportal<n/>- Mutterschiff im Nexus
免疫减速、昏迷、精神控制和位移效果。	Immun gegen Verlangsamungs-, Betäubungs-, Kontroll- und bewegungsbeeinflussende Effekte.
目标单位在<d time="4"/>内受到<d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/>点伤害，并且移动速度降低<d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%。 暴露隐形和潜地的单位。受影响的单位无法闪现、或进入装载体或建筑。	Anvisierte Einheiten erleiden im Verlauf von <d time="4"/> <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> Schaden und ihre Bewegungsgeschwindigkeit ist um <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>% verringert. Deckt getarnte und eingegrabene Einheiten auf. Betroffene Einheiten können weder Transit einsetzen noch Transporter oder Gebäude betreten.
为医疗运输机、解放者、战列巡航舰提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在星港中建造战列巡航舰	Bietet Upgrademöglichkeiten für Medivacs, Falken und Schwere Kreuzer.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Schwere Kreuzer im Raumhafen
狙击手。能够使用稳定瞄准、EMP弹，还可以在升级后使用隐形技能。能够对幽灵军校发动的聚变打击进行制导。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Scharfschütze. Kann die Fähigkeiten "Sicheres Zielen" und "EMP-Projektil" einsetzen sowie "Tarnen" als Upgrade erhalten. Kann in der Ghost-Akademie gebaute taktische Nuklearraketen anfordern.<n/><n/><c val="#ColorAttackInfo">Kann Boden- und Lufteinheiten angreifen.</c>
能够制造供幽灵使用的聚变弹头，并为幽灵提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在兵营中训练幽灵	Bietet Upgrademöglichkeiten für Ghosts. Kann Nuklearraketen bauen, die von Ghosts eingesetzt werden. <n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Ghosts in der Kaserne
制造一个范围<d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>的光环，使友方单位受到的远程伤害降低2。持续<d time="15"/>。	Erzeugt eine Aura mit einer Reichweite von <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>, die den eingehenden Schaden befreundeter Einheiten um 2 verringert. Die Aura hält <d time="15"/> lang an.
治疗一个友方生物单位。<n/><n/><c val="f078ff">每1点能量恢复<d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/>点生命值。</c>	Heilt eine befreundete biologische Einheit.<n/><n/><c val="f078ff">Heilt <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> Trefferpunkte pro 1 Energie.</c>
增加医疗运输机的燃料储备，使后燃推进系统的持续时间延长50%。	Erhöht die Treibstoffreserven des Medivacs, wodurch die Nachbrenner 50% länger anhalten.
强大的灵能运用大师。能够使用能量反蚀技能，升级后可以使用灵能风暴技能。可以融合为执政官。<n/><n/><c val="ffff8a">可以对地。</c>	Mächtiger psionischer Meister. Kann die Fähigkeit "Rückkopplung" und nach Upgrade auch "Psi-Sturm" einsetzen. Kann zu einem Archon verschmelzen.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
为刺蛇提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为刺蛇	Bietet Upgrademöglichkeiten für Hydralisken.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Hydralisken aus Larven
吸收最多<d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>点伤害，持续<d ref="Behavior,ImmortalOverload,Duration"/>秒。该效果每<d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/>秒只能触发一次。	Absorbiert bis zu <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> Schaden. Bleibt <d ref="Behavior,ImmortalOverload,Duration"/> Sek. lang bestehen. Dieser Effekt kann nur einmal alle <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> Sek. auftreten.
为感染者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 使幼虫可以变异为感染者<n/>- 使幼虫可变异为虫群宿主	Bietet Upgrademöglichkeiten für Verseucher.<n/><n/><c val="ffff8a">Ermöglicht:</c><n/>- Verseucher aus Larven <n/>- Schwarmwirte aus Larven
孵化一名被感染的人类，持续<d ref="Behavior,InfestedTerranTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可以在潜地时施放。</c>	Lässt einen verseuchten Terraner entstehen. Verseuchte Terraner bleiben <d ref="Behavior,InfestedTerranTimedLife,Duration"/> Sek. lang bestehen.<n/><n/><c val="ffff8a">Kann im eingegrabenen Zustand eingesetzt werden.</c>
善于感染的虫类。可以使用霉菌滋生、微生物环绕云以及神经寄生能力。	Spezialist für Verseuchung. Kann die Fähigkeiten "Pilzbefall", "Mikrobischer Schleier" und "Neuralparasit" einsetzen.
把一个空中的目标单位拉到地面，持续<d ref="Behavior,InfestorEnsnare,Duration"/>秒，使其无法攻击，并使各单位把它视作地面单位进行攻击。	Zwingt die ausgewählte Lufteinheit <d ref="Behavior,InfestorEnsnare,Duration"/> Sek. lang auf den Boden, wo sie selbst nicht angreifen, aber wie eine normale Bodeneinheit angegriffen werden kann.
短暂延迟后发生爆炸，造成<d ref="Effect,KD8ChargeExplodeDamage,Amount"/>点伤害并击退附近的单位。	Explodiert nach kurzer Verzögerung, verursacht <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> Schaden und stößt Einheiten in der Nähe zurück.
解放者在防卫模式下的射程增加<d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>。	Erhöht die Reichweite von Falken im Verteidigungsmodus um <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.
将飓风的武器锁定在目标单位上，在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害。前4次射击很快发射。可以在开火时移动。如果目标离开锁定范围，该技能将会取消。	Nimmt eine Boden- oder Lufteinheit ins Visier. Verursacht im Verlauf von <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> Sek. <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> Schaden. Kann sich beim Feuern bewegen. Wird abgebrochen, wenn das Ziel außer Reichweite gelangt.
使飓风的武器锁定目标空中单位，在<d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害。开火时可以移动。如果目标离开射程后则取消。	Nimmt eine fliegende Zieleinheit ins Visier. Verursacht im Verlauf von <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> Sek. <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> Schaden. Kann sich beim Feuern bewegen. Wird abgebrochen, wenn das Ziel außer Reichweite gelangt.
