Amorphous Armorcloud	무정형 방어구름
Contains weapon and armor upgrades for Protoss air units and the Warp Gate upgrade.<n/><n/><c val="ffff8a">Enables:</c><n/>- Sentries at the Gateway<n/>- Stalkers at the Gateway<n/>- Adepts at the Gateway<n/>- Shield Batteries from Probes	프로토스 공중 유닛과 차원 관문을 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 파수기 (관문)- 추적자 (관문)<n/><n/>- 사도 (관문)<n/>- 보호막 충전소 (탐사정)
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	기동형 차량입니다. 목표물 고정을 사용해 이동 중에도 공격할 수 있습니다.<n/><n/><c val="#ColorAttackInfo">지상 유닛 공격 가능</c>
Allows the Cyclone's weapon and Lock On ability to target air units.	사이클론의 무기 공격과 목표물 고정 능력이 공중 유닛을 대상으로 삼을 수 있습니다.
Improves the Lock On ability to fire the first 12 shots quickly.	목표물 고정 능력을 향상하여 첫 12발을 빠르게 발사하게 만듭니다.
Allows the Cyclone's Typhoon Missile Pods and Lock On ability to target air units.	사이클론의 태풍 미사일 포와 목표물 고정 능력이 공중 유닛을 대상으로 삼을 수 있습니다.
Increases <c val="ffff8a">Cyclone</c> Lock On damage. Deals 400 damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets.	<c val="ffff8a">사이클론</c>의 목표물 고정 공격력을 증가시킵니다. 지상 및 공중 유닛에 <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>초에 걸쳐 400(중장갑 유닛에게는 추가 400)의 피해를 줍니다.
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	기동형 무인 차량입니다. 목표물 고정을 사용해 이동 중에도 공격할 수 있습니다.<n/><n/><c val="#ColorAttackInfo">지상 및 공중 유닛 공격 가능</c>
Contains an upgrade for Dark Templar.<n/><n/><c val="ffff8a">Enables:</c><n/>- Dark Templar at the Gateway<n/>- Archon Merge from Dark Templar	암흑 기사를 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 암흑 기사 (관문)<n/>- 집정관 (암흑 기사 합체)
Teleports the Dark Templar to a nearby target location. Ability can only be used once every <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> seconds.	암흑 기사가 주위의 대상 위치로 순간이동합니다. <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/>초에 한 번씩만 사용할 수 있습니다.
Robotic disruption unit. Can use Purification Nova to deal heavy area damage.	로봇 분열 유닛입니다. 정화 폭발을 사용하여 큰 범위 피해를 줄 수 있습니다.
Highly concentrated solar energy. Explodes after <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds, dealing area damage.	고농축 태양 에너지입니다. <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>초 후 폭발하여 범위 피해를 줍니다.
This unit burrows faster.	더 빠르게 잠복합니다.
Increases the radius of <c val="ffff8a">Ghost's</c> EMP Round by +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.	<c val="ffff8a">유령</c>의 EMP 탄환 반경이 +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>만큼 증가합니다.
Allows <c val="ffff8a">Infestors</c> to use the Microbial Shroud ability.	<c val="ffff8a">감염충</c>이 세균 장막 능력을 사용할 수 있습니다.
Increases the movement speed of <c val="ffff8a">Ultralisks</c> off creep.	<c val="ffff8a">울트라리스크</c>의 점막 밖 이동 속도가 증가합니다.
<c val="ffff8a">Banelings</c> gain increased movement speed and +5 life.	<c val="ffff8a">맹독충</c>의 이동 속도가 증가하고 체력이 5만큼 증가합니다.
Gives +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> armor to <c val="ffff8a">Ultralisks</c>.	<c val="ffff8a">울트라리스크</c>의 방어력이 <d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>만큼 증가합니다.
Reduces the time <c val="ffff8a">Lurkers</c> take to burrow from <d time="2.5" precision="1"/> to <d time="1" precision="1"/> and increases their movement speed.	<c val="ffff8a">가시지옥</c>의 잠복 속도가 <d time="2.5" precision="1"/>에서 <d time="1" precision="1"/>%Rjon(으로,로) 감소하고 이동 속도가 증가합니다.
Increases <c val="ffff8a">Hydralisk</c> attack range by +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.	<c val="ffff8a">히드라리스크</c>의 공격 사거리가 <d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>만큼 증가합니다.
Increases the movement speed of <c val="ffff8a">Hydralisks</c>.	<c val="ffff8a">히드라리스크</c>의 이동 속도가 증가합니다.
Increase the <c val="ffff8a">Nydus Network</c> and <c val="ffff8a">Nydus Worm's</c> load and unload speeds.	<c val="ffff8a">땅굴망</c>과 <c val="ffff8a">땅굴벌레</c>의 들이기 및 내보내기 속도가 증가합니다.
Enables <c val="ffff8a">Roaches</c> to move while burrowed.	<c val="ffff8a">바퀴</c>가 잠복 상태에서 이동할 수 있게 합니다.
Increases the damage of Raven Auto-Turrets and Seeker Missiles by 30%.	밤까마귀의 자동 포탑과 추적 미사일의 공격력이 30%만큼 증가합니다.
Vehicle-production facility. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellions<n/>- Widow Mines<n/>- Cyclones	차량 생산 시설입니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 화염차<n/>- 땅거미 지뢰<n/>- 사이클론
Drains all energy from the target. Deals <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> damage per point of energy.	대상의 에너지를 모두 소진시키고, 소진된 에너지 1당 <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/>의 피해를 줍니다.
Contains upgrades for Phoenixes and Void Rays.<n/><n/><c val="ffff8a">Enables:</c><n/>- Tempests at the Stargate</n>- Carriers at the Stargate<n/>- Mothership from the Nexus	불사조와 공허 포격기를 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 폭풍함 (우주관문)<n/>- 우주모함 (우주관문)</n>- 모선 (연결체)
Immune to snare, stun, mind control, and movement altering effects.	감속, 기절, 정신 제어, 이동 방해 효과에 면역입니다.
Target units take <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> damage over <d time="4"/> and have movement speed reduced by <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Reveals cloaked and burrowed units. Affected units cannot Blink or load into transports or buildings.	대상 유닛에 <d time="4"/>에 걸쳐 <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/>의 피해를 주고 이동 속도를 <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>% 감소시킵니다. 은폐하거나 잠복한 유닛은 모습이 드러납니다. 영향을 받은 유닛은 점멸을 사용할 수 없으며, 수송기나 건물에 들어갈 수도 없습니다.
Contains Medivac, Liberator, and Battlecruiser upgrades. <n/><n/><c val="ffff8a">Enables:</c><n/>- Battlecruisers at the Starport	의료선, 해방선, 전투순양함을 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 전투순양함 (우주공항)
Sniper. Can use Steady Targeting, EMP Round, and be upgraded to use Cloak. Can call down Tactical Nukes built at the Ghost Academy.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	저격수입니다. 부동 조준과 EMP 탄환을 사용할 수 있고, 업그레이드하면 은폐를 사용할 수 있습니다. 유령 사관학교에서 생산한 전술 핵미사일을 투하할 수 있습니다.<n/><n/><c val="#ColorAttackInfo">지상 및 공중 유닛 공격 가능</c>
Contains upgrades for Ghosts. Can build Nukes for Ghosts.<n/><n/><c val="ffff8a">Enables:</c><n/>- Ghosts at the Barracks	유령을 업그레이드합니다. 유령이 사용할 수 있는 핵을 생산합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 유령 (병영)
Creates a range <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> aura that reduces incoming ranged damage to friendly units by 2. Lasts <d time="15"/>.	범위 <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>의 오라를 생성하여 아군 유닛이 받는 원거리 피해를 2만큼 감소시킵니다. <d time="15"/> 동안 지속됩니다.
Heals a friendly biological target.<n/><n/><c val="f078ff">Heals <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> life per 1 energy.</c>	아군 생체 유닛을 치료합니다.<n/><n/><c val="f078ff">에너지 1당 <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/>의 체력 회복</c>
Increases the Medivac's fuel reserves, allowing Ignite Afterburners to last 50% longer.	의료선의 연료 비축량을 증가시켜 재연소 장치 점화의 지속 시간을 50%만큼 증가시킵니다.
Potent psionic master. Can use Feedback and be upgraded to use Psionic Storm. Can transform into an Archon.<n/><n/><c val="ffff8a">Can attack ground units.</c>	강한 사이오닉 능력을 지니고 있습니다. 환류를 사용할 수 있고 업그레이드하면 사이오닉 폭풍을 사용할 수 있습니다. 집정관으로 변신할 수 있습니다.<n/><n/><c val="ffff8a">지상 유닛 공격 가능</c>
Contains upgrades for Hydralisks.<n/><n/><c val="ffff8a">Enables:</c><n/>- Hydralisks from Larvae	히드라리스크를 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 히드라리스크 (애벌레에서 변태)
Absorbs up to <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> damage. Lasts for <d ref="Behavior,ImmortalOverload,Duration"/> seconds. This effect can only occur once every <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> seconds.	최대 <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>의 피해를 흡수합니다. <d ref="Behavior,ImmortalOverload,Duration"/>초 동안 지속됩니다. 이 효과는 <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/>초마다 한 번만 발동합니다.
Contains upgrades for Infestors.<n/><n/><c val="ffff8a">Enables:</c><n/>- Infestors from Larvae<n/>- Swarm Hosts from Larvae	감염충을 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 감염충 (애벌레에서 변태)<n/>- 군단 숙주 (애벌레에서 변태)
Spawn an Infested Terran. Infested Terrans last <d ref="Behavior,InfestedTerranTimedLife,Duration"/> seconds.<n/><n/><c val="ffff8a">Can cast while burrowed.</c>	감염된 테란을 하나 생성합니다. 감염된 테란은 <d ref="Behavior,InfestedTerranTimedLife,Duration"/>초 동안 전장에 머뭅니다.<n/><n/><c val="ffff8a">잠복한 상태로 시전 가능</c>
Infestation specialist. Can use the Fungal Growth, Microbial Shroud, and Neural Parasite abilities.	감염 전문 유닛입니다. 진균 번식, 세균 장막, 신경 기생충 능력을 사용할 수 있습니다.
Brings a target air unit to the ground for <d ref="Behavior,InfestorEnsnare,Duration"/> seconds, rendering it unable to attack, and allowing units to attack it as if it were a ground unit.	감염충이 대상 공중 유닛을 <d ref="Behavior,InfestorEnsnare,Duration"/>초 동안 지상으로 끌어 내려 공격을 못하게 만들고, 아군이 해당 유닛을 지상 유닛인 것처럼 공격할 수 있게 합니다.
Explodes after a short delay, dealing <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> damage and knocking back nearby units.	일정 시간 후 폭발하여 주위 유닛에게 <d ref="Effect,KD8ChargeExplodeDamage,Amount"/>의 피해를 주고 밀쳐냅니다.
Increases the range of Liberators in Defender Mode by <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.	해방선의 수호기 모드의 사거리가 <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>만큼 증가합니다.
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	사이클론의 무기를 대상 유닛에 고정시켜 <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>초에 걸쳐 지상 및 공중 대상에 <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>의 피해를 줍니다. 이동하며 발사할 수 있습니다. 대상이 사거리 밖으로 벗어나면 취소됩니다.
Locks the Cyclone's weapons on the target flying unit, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> seconds. Can move while firing. Cancels if target moves out of range.	대상 비행 유닛을 사이클론의 공격 목표로 고정시켜 <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>초에 걸쳐 <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>의 피해를 줍니다. 이동하면서 공격할 수 있습니다. 대상이 사거리 밖으로 나가면 취소됩니다.
