Amorphous Armorcloud	無定型防護雲
Interceptor Timed Life	攔截機限時生命
Interceptor Wander	攔截機漫遊
Neural Parasite Children	神經寄生宿主
Restoration Field	恢復力場
Warping In	躍傳中
Phased	相位轉換
Interference Matrix	干擾矩陣
Armor Reduction	裝甲值降低
Anti-Armor Missile Targeting	反裝甲飛彈鎖定
Resonating Glaives	共振旋刃
Incoming damage from air units reduced by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%.	由空中單位造成的傷害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%。
Restoration rate increased. Not consuming energy.	護盾恢復率提高，不消耗能量。
This unit's armor is reduced.	這個單位的裝甲值降低了。
This unit is carefully aiming.	這個單位正在專心瞄準目標。
This structure is in an accelerated state.	此建築正處於加速運轉狀態。
Target is affected by Fungal Growth. Target is detected and has restricted movement.	目標受到真菌增生影響。目標已被偵測到且移動受到限制。
This unit is grounded and weapons are disabled.	此單位已落地，並且無法使用武器。
This unit's movement speed is increased.	此單位的移動速度提高。
This unit is being controlled by an Infestor.	此單位正受到感染蟲操控。
This Pylon restores shields of friendly units nearby.	這座水晶塔會恢復附近友方單位的護盾。
Unit's shields are being restored.	單位的護盾恢復了。
This unit is invulnerable and is able to move through other units.	此單位處於無敵狀態，並且可以穿越其他單位。
This Pylon has a powerful long-ranged attack.	此水晶塔可發動強大的遠程攻擊。
Weapons and abilities are disabled.	無法使用武器和技能。
This unit has reduced armor.	此單位的裝甲值已降低。
This unit is being targeted by an Anti-Armor Missile.	此單位已被反裝甲飛彈鎖定。
Adept's attack speed increased by <d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%.	教士的攻擊速度提高<d ref="(Behavior,ResonatingGlaivesPhaseShift,Modification.AttackSpeedMultiplier-1)*100"/>%。
This unit is stunned.	此單位已昏迷。
This unit's attack and movement speeds are reduced by 50%.	此單位的攻擊和移動速度降低50%。
This unit is regenerating health.	此單位正在恢復生命值。
Stasis Trap	靜滯詭雷
Research Resonating Glaives	研發共振旋刃
Shield Amplification	護盾強化
Carrier Capacity	航空母艦容量
Advanced Communications Array	進階通訊陣列
Surface-to-Air Targeting	地對空鎖定
Rapid Fire Launchers	速射發射器
Research Mag-Field Accelerator	研發磁場加速器
Shadow Stride	暗影步法
Drilling Claws	鑽地爪
Enhanced Shockwaves	強化衝擊波
Evolve Microbial Shroud	進化微生物護罩
Evolve Adaptive Talons	進化適應性掘爪
Evolve Grooved Spines	進化鑿溝脊刺
Evolve Muscular Augments	進化肌力增強
Evolve Propulsive Peristalsis	進化蠕動推進
Increased Attack Range	攻擊距離提高
Increased Movement Speed	移動速度提高
KD8 Charge	KD8炸藥
Select Larvae	選取幼蟲
Mag-Field Launchers	磁場發射器
Observer Mode	觀察者模式
Surveillance Mode	監視模式
Mutate Ventral Sacs	突變腹腔氣囊
Cancel Oversight	取消監視模式
Oversight	監視模式
Strategic Recall	戰術召回
Subterranean Scales	地底鱗片
Psionic Surge	幽能奔流
Rapid Reignition System	快速再燃系統
Morph to Ravager	變形為劫毀蟲
Enhanced Munitions	強化彈藥
Recalibrated Explosives	精準高爆彈
Build Repair Drone	建造自動維修機
Research Enhanced Munitions	研發強化彈藥
Anti-Armor Missile	反裝甲飛彈
Research Shield Amplification	研發護盾強化
Research Amplified Shielding	研發護盾增量
Research Armor Piercing Rockets	研發穿甲飛彈
Research Carrier Capacity	研發航空母艦容量
Research Advanced Communications Array	研發進階通訊陣列
Research Rapid Fire Launchers	研發速射發射器
Research Shadow Stride	研發暗影步法
Research Enhanced Shockwaves	研發強化衝擊波
Research Mag-Field Launchers	研發磁場發射器
Research Psionic Amplifiers	研發幽能增幅器
Research Psionic Surge	研發幽能奔流
Research Rapid Reignition System	研發快速再燃系統
Research Recalibrated Explosives	研發精準高爆彈
Research Smart Servos	研發智能傳動
Warp In Shield Battery	躍傳護盾充能器
Restore	還原
Recharge	充能
Tectonic Destabilizers	地質減穩器
Research Tectonic Destabilizers	研發地質減穩器
Upgrade Neosteel Armor	升級新型鋼鐵裝甲
Concealment	隱蔽
Traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.	使附近的敵人陷入靜滯狀態，持續<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。陷入靜滯狀態的單位無法被攻擊或者受到技能的影響。
Increases the attack speed of Adepts by 45%.	教士的攻擊速度提高45%。
Increases the attack speed of <c val="ffff8a">Adepts</c> by 45%.	<c val="ffff8a">教士</c>的攻擊速度提高45%。
Creates a shroud that obscures ground units underneath, reducing damage taken from air units by <d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%. Lasts <d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/> seconds.	製造一個護罩遮蓋其下方的地面單位，當他們受到空中單位攻擊時，承受的傷害降低<d ref="Behavior,AmorphousArmorcloud,DamageResponse.ModifyFraction*100" precision="1"/>%，持續<d ref="Effect,AmorphousArmorcloudCP,PeriodCount*Effect,AmorphousArmorcloudCP,PeriodicPeriodArray[0]"/>秒。
Increases <c val="ffff8a">Phoenix's</c> attack range by <d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>.	<c val="ffff8a">鳳凰戰機</c>的攻擊距離提高<d ref="$UpgradeEffectArrayValue:PhoenixRangeUpgrade:Weapon,IonCannons,Range$"/>格。
Contains weapon and armor upgrades for Factory and Starport units. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellbat at the Factory<n/>- Thor at the Factory	提供軍工廠和星際港單位的武器和裝甲升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓軍工廠可建造戰狼<n/>- 讓軍工廠可建造雷神
Infantry-production facility.<n/><n/><c val="ffff8a">Enables:</c><n/>- Marines<n/>- Reapers<n/>- Bunkers from SCVs<n/>- Orbital Commands from Command Centers	步兵生產設施。<n/><n/><c val="ffff8a">功能：</c><n/>- 可訓練陸戰隊<n/>- 可訓練死神<n/>- 讓太空工程車可建造碉堡<n/>- 讓指揮中心可升級為星軌指揮總部
Overcharges a target Shield Battery near a Nexus, increasing its shield restoration rate by 100% and allowing it to restore shields without consuming energy for <d ref="Behavior,BatteryOvercharge,Duration"/> seconds.	超載星核附近的目標護盾充能器，使其護盾恢復率提高100%，並且在恢復護盾時不消耗能量，持續<d ref="Behavior,BatteryOvercharge,Duration"/>秒。
Vehicle-research structure. A Tech Lab can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Cyclones<n/>- Siege Tanks<n/>- Thor with Armory	研發載具科技的建築。科技實驗室適用於任何生產類建築。<n/><n/><c val="ffff8a">功能：</c><n/>- 可建造颶風飛彈車<n/>- 可建造攻城坦克<n/>- 可建造雷神，需具備兵工廠
Focuses a beam on enemy units and reduces their armor by 3.<n/>Times out after <d ref="Behavior,BypassArmorDroneTimedLife,Duration"/> seconds.	以光束使一名敵方單位的裝甲值降低3點。<n/>效果可持續<d ref="Behavior,BypassArmorDroneTimedLife,Duration"/>秒。
Drops an experimental robotic MULE miner onto the target Mineral Field. MULEs collect minerals more quickly than SCVs.  <n/><n/>MULEs last <d ref="Behavior,MULETimedLife,Duration"/> seconds before their systems fail.	空投一台實驗性的機械礦騾到目標晶礦場。礦騾採集晶礦的速度比太空工程車快。<n/><n/>礦騾在其系統當機前可持續<d ref="Behavior,MULETimedLife,Duration"/>秒。
Increases the maximum number of Interceptors per Carrier from 8 to 10.	航空母艦的攔截機數量上限由8架提升到10架。
Increases the <c val="ffff8a">Interceptor's</c> leash range by <d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>.	<c val="ffff8a">攔截機</c>的飛行距離提高<d ref="$UpgradeEffectArrayValue:CarrierLeashRangeUpgrade:Abil,CarrierHangar,Leash$"/>格。
Allows Zealots to intercept nearby enemies. Also increases the movement speed of Zealots. Ability can only be used once every <d ref="Abil,Charge,Cost.Cooldown.TimeUse"/> seconds.	讓狂戰士可攔截附近的敵人，並且提高其移動速度。每<d ref="Abil,Charge,Cost.Cooldown.TimeUse"/>秒可使用一次。
Places target structure in a Chrono Boost, causing it to operate <d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>% faster for <d ref="Behavior,ChronoBoostEnergyCost,Duration"/> seconds.	讓目標建築進入超時空加速狀態，使該建築的運轉速度提高<d ref="(((Behavior,ChronoBoostEnergyCost,Modification.RateMultiplierArray[Progress])-1)*100)" precision="1"/>%，持續<d ref="Behavior,ChronoBoostEnergyCost,Duration"/>秒。
A barrier that can be destroyed to allow access to new areas.	摧毀此障礙物後可前往新的區域。
Contains weapon and armor upgrades for Protoss air units and the Warp Gate upgrade.<n/><n/><c val="ffff8a">Enables:</c><n/>- Sentries at the Gateway<n/>- Stalkers at the Gateway<n/>- Adepts at the Gateway<n/>- Shield Batteries from Probes	提供神族空中單位的武器與裝甲升級，以及空間之門的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓傳送門可躍傳哨衛 <n/>- 讓傳送門可躍傳追獵者<n/>- 讓傳送門可躍傳教士<n/>- 讓探測機可躍傳護盾充能器
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	機動突擊載具。可以使用鎖定目標技能，在移動狀態下快速攻擊目標。<n/><n/><c val="#ColorAttackInfo">可攻擊地面單位。</c>
Allows the Cyclone's weapon and Lock On ability to target air units.	讓颶風飛彈車的武器與鎖定目標技能，能夠以空中單位為目標。
Improves the Lock On ability to fire the first 12 shots quickly.	強化鎖定目標這個技能，提高最初12發飛彈的發射速度。
Allows the Cyclone's Typhoon Missile Pods and Lock On ability to target air units.	讓颶風飛彈車的武器與鎖定目標技能，能夠以空中單位為目標。
Increases <c val="ffff8a">Cyclone</c> Lock On damage. Deals 400 damage (+400 vs. Armored) over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets.	提高<c val="ffff8a">颶風飛彈車</c>鎖定目標的傷害。可在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒內對地面或空中單位造成400點傷害(對重甲單位額外提高400點)。
Mobile assault vehicle. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	機動突擊載具。可以使用鎖定目標技能，在移動狀態下快速攻擊目標。<n/><n/><c val="#ColorAttackInfo">可攻擊地面及空中單位。</c>
Contains an upgrade for Dark Templar.<n/><n/><c val="ffff8a">Enables:</c><n/>- Dark Templar at the Gateway<n/>- Archon Merge from Dark Templar	提供黑暗聖堂武士的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓傳送門可躍傳黑暗聖堂武士<n/>- 黑暗聖堂武士可合併為執政官
Teleports the Dark Templar to a nearby target location. Ability can only be used once every <d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/> seconds.	將黑暗聖堂武士傳送至附近的目標地點。每<d ref="Abil,DarkTemplarBlink,Cost[0].Cooldown.TimeUse"/>秒可使用一次。
Robotic disruption unit. Can use Purification Nova to deal heavy area damage.	機械擾敵單位。可以使用淨化光球造成大量範圍傷害。
Highly concentrated solar energy. Explodes after <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/> seconds, dealing area damage.	高度濃縮的太陽能量。會在<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒後爆炸，造成範圍傷害。
This unit burrows faster.	此單位遁地的速度較快。
Increases the radius of <c val="ffff8a">Ghost's</c> EMP Round by +<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>.	使<c val="ffff8a">幽靈特務</c>的電磁脈衝彈範圍增加<d ref="$UpgradeEffectArrayValue:EnhancedShockwaves:Effect,EMPSearch,AreaArray[0].Radius$" precision="1"/>格。
Allows <c val="ffff8a">Infestors</c> to use the Microbial Shroud ability.	讓<c val="ffff8a">感染蟲</c>可使用微生物護罩。
Increases the movement speed of <c val="ffff8a">Ultralisks</c> off creep.	<c val="ffff8a">雷獸</c>在蟲苔外的移動速度提高。
<c val="ffff8a">Banelings</c> gain increased movement speed and +5 life.	提高<c val="ffff8a">毒爆蟲</c>的移動速度，並且生命值提高5點。
Gives +<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/> armor to <c val="ffff8a">Ultralisks</c>.	<c val="ffff8a">雷獸</c>的裝甲值提高<d ref="$UpgradeEffectArrayValue:ChitinousPlating:Unit,Ultralisk,LifeArmor$"/>點。
Reduces the time <c val="ffff8a">Lurkers</c> take to burrow from <d time="2.5" precision="1"/> to <d time="1" precision="1"/> and increases their movement speed.	<c val="ffff8a">遁地獸</c>遁地所需時間從<d time="2.5" precision="1"/>降低為<d time="1" precision="1"/>，且其移動速度提高。
Increases <c val="ffff8a">Hydralisk</c> attack range by +<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>.	<c val="ffff8a">刺蛇</c>的攻擊距離提高<d ref="$UpgradeEffectArrayValue:EvolveGroovedSpines:Weapon,NeedleSpines,Range$"/>格。
Increases the movement speed of <c val="ffff8a">Hydralisks</c>.	<c val="ffff8a">刺蛇</c>的移動速度提高。
Increase the <c val="ffff8a">Nydus Network</c> and <c val="ffff8a">Nydus Worm's</c> load and unload speeds.	提高<c val="ffff8a">蟲殖地網</c>和<c val="ffff8a">地下蠕蟲</c>的裝載與卸載速度。
Enables <c val="ffff8a">Roaches</c> to move while burrowed.	讓<c val="ffff8a">蟑螂</c>可在遁地時移動。
Increases the damage of Raven Auto-Turrets and Seeker Missiles by 30%.	渡鴉的自動砲台和導引飛彈的傷害提高30%。
Vehicle-production facility. <n/><n/><c val="ffff8a">Enables:</c><n/>- Hellions<n/>- Widow Mines<n/>- Cyclones	載具生產設施。<n/><n/><c val="ffff8a">功能：</c><n/>- 可建造惡狼<n/>- 可建造寡婦詭雷<n/>- 可建造颶風飛彈車
Drains all energy from the target. Deals <d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/> damage per point of energy.	除去目標的所有能量。每除去1點能量可造成<d ref="(Effect,Feedback,VitalFractionCurrent[Energy])" Precision="2"/>點傷害。
Contains upgrades for Phoenixes and Void Rays.<n/><n/><c val="ffff8a">Enables:</c><n/>- Tempests at the Stargate</n>- Carriers at the Stargate<n/>- Mothership from the Nexus	提供鳳凰戰機和虛空艦的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓星際之門可躍傳暴風艦</n>- 讓星際之門可躍傳航空母艦<n/>- 讓星核可躍傳聖母艦
Immune to snare, stun, mind control, and movement altering effects.	對緩速、昏迷、心靈控制及移動變更效果免疫。
Target units take <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> damage over <d time="4"/> and have movement speed reduced by <d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%. Reveals cloaked and burrowed units. Affected units cannot Blink or load into transports or buildings.	使目標單位在<d time="4"/>內受到<d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/>點傷害，移動速度降低<d ref="(1-Behavior,FungalGrowthSlowMovement,Modification.MoveSpeedMultiplier)*100"/>%。可使匿蹤或遁地的單位現形。受影響的單位無法瞬移、進入運輸單位或建築物。
Contains Medivac, Liberator, and Battlecruiser upgrades. <n/><n/><c val="ffff8a">Enables:</c><n/>- Battlecruisers at the Starport	提供醫療艇、解放者和戰巡艦的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓星際港可建造戰巡艦
Sniper. Can use Steady Targeting, EMP Round, and be upgraded to use Cloak. Can call down Tactical Nukes built at the Ghost Academy.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	狙擊手。可使用精準狙擊及電磁脈衝彈，並可透過升級使用匿蹤。可導引由幽靈特務學院所建造的戰術核彈進行轟炸。<n/><n/><c val="#ColorAttackInfo">可攻擊地面及空中單位。</c>
Contains upgrades for Ghosts. Can build Nukes for Ghosts.<n/><n/><c val="ffff8a">Enables:</c><n/>- Ghosts at the Barracks	可建造幽靈特務使用的核彈。提供幽靈特務的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓兵營可訓練幽靈特務
Creates a range <d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/> aura that reduces incoming ranged damage to friendly units by 2. Lasts <d time="15"/>.	產生一道靈氣，使範圍<d ref="Effect,GuardianShieldSearch,AreaArray[0].Radius" precision="1"/>格內所有友方單位受到的遠程傷害降低2點，持續<d time="15"/>。
Heals a friendly biological target.<n/><n/><c val="f078ff">Heals <d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/> life per 1 energy.</c>	治療一個友方的生物單位。<n/><n/><c val="f078ff">每1點能量治療<d ref="Effect,MedivacHeal,RechargeVitalRate*Effect,MedivacHeal,DrainVitalCostFactor"/>點生命值。</c>
Increases the Medivac's fuel reserves, allowing Ignite Afterburners to last 50% longer.	提高醫療艇的燃料儲存量，啟動後燃器的持續時間提高50%。
Potent psionic master. Can use Feedback and be upgraded to use Psionic Storm. Can transform into an Archon.<n/><n/><c val="ffff8a">Can attack ground units.</c>	強力的幽能大師。可使用潰蝕，並可透過升級使用幽能風暴。可轉化為執政官。<n/><n/><c val="ffff8a">可攻擊地面單位。</c>
Contains upgrades for Hydralisks.<n/><n/><c val="ffff8a">Enables:</c><n/>- Hydralisks from Larvae	提供刺蛇的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓幼蟲可變形為刺蛇
Absorbs up to <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> damage. Lasts for <d ref="Behavior,ImmortalOverload,Duration"/> seconds. This effect can only occur once every <d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/> seconds.	最多可吸收<d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>點傷害，持續<d ref="Behavior,ImmortalOverload,Duration"/>秒。此效果每隔<d ref="Abil,ImmortalOverload,Cost[0].Cooldown.TimeUse"/>秒只能觸發一次。
Contains upgrades for Infestors.<n/><n/><c val="ffff8a">Enables:</c><n/>- Infestors from Larvae<n/>- Swarm Hosts from Larvae	提供感染蟲的升級。<n/><n/><c val="ffff8a">功能：</c><n/>- 讓幼蟲可變形為感染蟲<n/>- 讓幼蟲可變形為百生獸
Spawn an Infested Terran. Infested Terrans last <d ref="Behavior,InfestedTerranTimedLife,Duration"/> seconds.<n/><n/><c val="ffff8a">Can cast while burrowed.</c>	孵化一名受感染的人類。受感染的人類可存活<d ref="Behavior,InfestedTerranTimedLife,Duration"/>秒。<n/><n/><c val="ffff8a">可在遁地時施放。</c>
Infestation specialist. Can use the Fungal Growth, Microbial Shroud, and Neural Parasite abilities.	專精於感染的特殊單位。可使用真菌增生、微生物護罩及神經寄生。
Brings a target air unit to the ground for <d ref="Behavior,InfestorEnsnare,Duration"/> seconds, rendering it unable to attack, and allowing units to attack it as if it were a ground unit.	將目標空中單位拉至地面<d ref="Behavior,InfestorEnsnare,Duration"/>秒，這段期間內，這個單位無法攻擊，而且所有地面攻擊都可對其造成傷害。
Explodes after a short delay, dealing <d ref="Effect,KD8ChargeExplodeDamage,Amount"/> damage and knocking back nearby units.	短暫延遲後爆炸，對附近的單位造成<d ref="Effect,KD8ChargeExplodeDamage,Amount"/>點傷害，並且將其擊退。
Increases the range of Liberators in Defender Mode by <d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.	解放者在防禦者模式下的攻擊距離提高<d ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>.ref="$UpgradeEffectArrayValue:LiberatorAGRangeUpgrade:Weapon,LiberatorAGWeapon,Range$"/>格。
Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground and flying targets. Can move while firing. Cancels if target moves out of range.	颶風飛彈車的武器系統鎖定目標單位，在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒內對地面與空中單位造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>點傷害。可以邊移動邊進行射擊。當目標超出射擊範圍時將會取消攻擊。
Locks the Cyclone's weapons on the target flying unit, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> seconds. Can move while firing. Cancels if target moves out of range.	颶風飛彈車的武器系統鎖定目標單位，可在<d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>秒內對空中單位造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>點傷害。可以邊移動邊進行射擊。當目標超出射擊範圍時將會取消攻擊。
Locks the Cyclone's weapons on the target air unit or air structure, dealing <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> (+<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/> vs Armored) damage over <d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/> seconds. First four shots fire quickly. Can move while firing. Cancels if target moves out of range.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or ground structures.</c>	颶風飛彈車的武器系統鎖定空中單位或空中建築，可在<d ref="Effect,LockOnAirCP,PeriodicPeriodArray[0] + Effect,LockOnAirCP,PeriodicPeriodArray[1] + Effect,LockOnAirCP,PeriodicPeriodArray[2] + Effect,LockOnAirCP,PeriodicPeriodArray[3] + Effect,LockOnAirCP,PeriodicPeriodArray[4] + Effect,LockOnAirCP,PeriodicPeriodArray[5] + Effect,LockOnAirCP,PeriodicPeriodArray[6] + Effect,LockOnAirCP,PeriodicPeriodArray[7] + Effect,LockOnAirCP,PeriodicPeriodArray[8] + Effect,LockOnAirCP,PeriodicPeriodArray[9] + Effect,LockOnAirCP,PeriodicPeriodArray[10] + Effect,LockOnAirCP,PeriodicPeriodArray[11] + Effect,LockOnAirCP,PeriodicPeriodArray[12] + Effect,LockOnAirCP,PeriodicPeriodArray[13] + Effect,LockOnAirCP,PeriodicPeriodArray[14] + Effect,LockOnAirCP,PeriodicPeriodArray[15] + Effect,LockOnAirCP,PeriodicPeriodArray[16] + Effect,LockOnAirCP,PeriodicPeriodArray[17] + Effect,LockOnAirCP,PeriodicPeriodArray[18] + Effect,LockOnAirCP,PeriodicPeriodArray[19] + Effect,LockOnAirCP,PeriodicPeriodArray[20] + Effect,LockOnAirCP,PeriodicPeriodArray[21] + Effect,LockOnAirCP,PeriodicPeriodArray[22]"/>秒內造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>（對重甲額外造成<d ref="Effect,LockOnAirCP,PeriodCount * $UpgradeEffectArrayValue:ArmorPiercingRockets:Effect,CycloneAirWeaponDamage,AttributeBonus[Armored]$"/>）點傷害，最初4發的發射速度比較快。可以邊移動邊進行射擊。當目標超出射擊範圍時將會取消攻擊。<n/><n/><c val="#ColorAttackInfo">無法以地面單位或地面建築為目標。</c>
